config,round,f1,accuracy,loss
fl_no_dp,1,0.3284,0.8875,0.3991
fl_no_dp,2,0.3504,0.8888,0.3183
fl_no_dp,3,0.3382,0.8875,0.289
fl_no_dp,4,0.3333,0.885,0.2769
fl_no_dp,5,0.3571,0.8875,0.2711
fl_no_dp,6,0.3688,0.8888,0.2685
fl_no_dp,7,0.3662,0.8875,0.265
fl_no_dp,8,0.3862,0.8888,0.2631
fl_no_dp,9,0.3836,0.8875,0.2622
fl_no_dp,10,0.4,0.8875,0.2624
fl_no_dp,11,0.3919,0.8875,0.263
fl_no_dp,12,0.4161,0.8912,0.2622
fl_no_dp,13,0.4211,0.89,0.2618
fl_no_dp,14,0.4416,0.8925,0.263
fl_no_dp,15,0.4459,0.8912,0.2614
fl_no_dp,16,0.4938,0.8975,0.261
fl_no_dp,17,0.4684,0.895,0.2616
fl_no_dp,18,0.4654,0.8938,0.2611
fl_no_dp,19,0.4387,0.8912,0.2627
fl_no_dp,20,0.4314,0.8912,0.2636
fl_dp_no_secagg,1,0.0748,0.8762,0.3947
fl_dp_no_secagg,2,0.0566,0.875,0.3195
fl_dp_no_secagg,3,0.0192,0.8725,0.3042
fl_dp_no_secagg,4,0.0566,0.875,0.3024
fl_dp_no_secagg,5,0.0926,0.8775,0.3044
fl_dp_no_secagg,6,0.0926,0.8775,0.3083
fl_dp_no_secagg,7,0.0917,0.8762,0.3093
fl_dp_no_secagg,8,0.0917,0.8762,0.3084
fl_dp_no_secagg,9,0.1261,0.8788,0.3061
fl_dp_no_secagg,10,0.1429,0.88,0.3089
fl_dp_no_secagg,11,0.1429,0.88,0.3103
fl_dp_no_secagg,12,0.1429,0.88,0.3059
fl_dp_no_secagg,13,0.1593,0.8812,0.3019
fl_dp_no_secagg,14,0.1593,0.8812,0.3021
fl_dp_no_secagg,15,0.1849,0.8788,0.2997
fl_dp_no_secagg,16,0.2017,0.8812,0.2975
fl_dp_no_secagg,17,0.2459,0.885,0.2972
fl_dp_no_secagg,18,0.2314,0.8838,0.2993
fl_dp_no_secagg,19,0.2295,0.8825,0.3014
fl_dp_no_secagg,20,0.256,0.8838,0.3008
fl_dp_secagg,1,0.0561,0.8738,0.3015
fl_dp_secagg,2,0.0,0.8712,0.3223
fl_dp_secagg,3,0.0926,0.8775,0.3182
fl_dp_secagg,4,0.0917,0.8762,0.3205
fl_dp_secagg,5,0.1429,0.88,0.3113
fl_dp_secagg,6,0.188,0.8812,0.3078
fl_dp_secagg,7,0.1864,0.88,0.3132
fl_dp_secagg,8,0.1849,0.8788,0.3133
fl_dp_secagg,9,0.1709,0.8788,0.316
fl_dp_secagg,10,0.2791,0.8838,0.3128
fl_dp_secagg,11,0.2791,0.8838,0.3156
fl_dp_secagg,12,0.254,0.8825,0.3259
fl_dp_secagg,13,0.2901,0.8838,0.3246
fl_dp_secagg,14,0.2581,0.885,0.3287
fl_dp_secagg,15,0.2677,0.8838,0.335
fl_dp_secagg,16,0.2677,0.8838,0.3309
fl_dp_secagg,17,0.3158,0.8862,0.33
fl_dp_secagg,18,0.303,0.885,0.3302
fl_dp_secagg,19,0.3259,0.8862,0.3299
fl_dp_secagg,20,0.303,0.885,0.3413
fl_dp_median_stress,1,0.3191,0.84,0.6548
fl_dp_median_stress,2,0.3172,0.8762,0.6219
fl_dp_median_stress,3,0.2481,0.8788,0.5912
fl_dp_median_stress,4,0.2276,0.8812,0.5638
fl_dp_median_stress,5,0.2185,0.8838,0.5393
fl_dp_median_stress,6,0.1739,0.8812,0.5138
fl_dp_median_stress,7,0.1754,0.8825,0.4922
fl_dp_median_stress,8,0.1913,0.8838,0.4734
fl_dp_median_stress,9,0.1593,0.8812,0.4564
fl_dp_median_stress,10,0.1091,0.8775,0.44
fl_dp_median_stress,11,0.0917,0.8762,0.4245
fl_dp_median_stress,12,0.0917,0.8762,0.4116
fl_dp_median_stress,13,0.0917,0.8762,0.3986
fl_dp_median_stress,14,0.0748,0.8762,0.3882
fl_dp_median_stress,15,0.0748,0.8762,0.3787
fl_dp_median_stress,16,0.0566,0.875,0.3703
fl_dp_median_stress,17,0.0381,0.8738,0.3621
fl_dp_median_stress,18,0.0566,0.875,0.3555
fl_dp_median_stress,19,0.0381,0.8738,0.3499
fl_dp_median_stress,20,0.0381,0.8738,0.3446
centralized_baseline,1,0.4596,0.8912,0.2722
centralized_baseline,2,0.5349,0.9,0.262
centralized_baseline,3,0.3919,0.8875,0.2651
centralized_baseline,4,0.4845,0.8962,0.2606
centralized_baseline,5,0.5537,0.9012,0.2643
centralized_baseline,6,0.5434,0.9012,0.2644
centralized_baseline,7,0.5119,0.8975,0.2675
centralized_baseline,8,0.4785,0.8938,0.264
centralized_baseline,9,0.5341,0.8975,0.2678
centralized_baseline,10,0.4516,0.8938,0.2659
centralized_baseline,11,0.4625,0.8925,0.2703
centralized_baseline,12,0.494,0.895,0.2666
centralized_baseline,13,0.4304,0.8875,0.2688
centralized_baseline,14,0.515,0.8988,0.2671
centralized_baseline,15,0.5281,0.895,0.268
centralized_baseline,16,0.4129,0.8862,0.2708
centralized_baseline,17,0.5227,0.895,0.2671
centralized_baseline,18,0.4528,0.8912,0.2697
centralized_baseline,19,0.481,0.8975,0.2644
centralized_baseline,20,0.4881,0.8925,0.2613
