[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/230 | actifs= 5 | acc=0.764 prec=0.331 recall=0.816 F1=0.471 loss=0.4928 | eps=4.799 | duree=0.162s
[server] round   2/230 | actifs= 5 | acc=0.804 prec=0.370 recall=0.748 F1=0.495 loss=0.4128 | eps=6.786 | duree=0.151s
[server] round   3/230 | actifs= 5 | acc=0.854 prec=0.451 recall=0.621 F1=0.522 loss=0.3415 | eps=8.311 | duree=0.139s
[server] round   4/230 | actifs= 5 | acc=0.892 prec=0.591 recall=0.534 F1=0.561 loss=0.2942 | eps=9.597 | duree=0.125s
[server] (( simulation de decrochage du client 3 au round 5 ))
[server] part de Shamir recue du client 1 pour reconstruire le client 3.
[server] part de Shamir recue du client 2 pour reconstruire le client 3.
[server] part de Shamir recue du client 4 pour reconstruire le client 3.
[server] cle privee du client 3 reconstruite avec succes (3 parts).
[server] round   5/230 | actifs= 4 | acc=0.895 prec=0.673 recall=0.359 F1=0.468 loss=0.2723 | eps=10.730 | duree=0.133s
[server] round   6/230 | actifs= 4 | acc=0.882 prec=0.667 recall=0.175 F1=0.277 loss=0.2687 | eps=11.754 | duree=0.142s
[server] round   7/230 | actifs= 4 | acc=0.881 prec=0.833 recall=0.097 F1=0.174 loss=0.2762 | eps=12.696 | duree=0.202s
[server] round   8/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.2856 | eps=13.572 | duree=0.196s
[server] round   9/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.2923 | eps=14.396 | duree=0.208s
[server] round  10/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3000 | eps=15.174 | duree=0.095s
[server] round  11/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3033 | eps=15.915 | duree=0.14s
[server] round  12/230 | actifs= 4 | acc=0.874 prec=0.750 recall=0.029 F1=0.056 loss=0.3079 | eps=16.623 | duree=0.158s
[server] round  13/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3091 | eps=17.301 | duree=0.159s
