round,grad_norm,duration_s,status
1,0.1372,0.0161,active
2,0.1298,0.0122,active
3,0.1343,0.0077,active
4,0.1347,0.0088,active
5,0.1298,0.0072,active
6,0.1338,0.0188,active
7,0.1296,0.0115,active
8,0.1307,0.0134,active
9,0.1354,0.0231,active
10,0.1293,0.0092,active
11,0.1365,0.008,active
12,0.1346,0.0244,active
13,0.1329,0.0182,active
14,0.1327,0.0124,active
15,0.1353,0.0193,active
16,0.132,0.0084,active
17,0.1318,0.0092,active
18,0.134,0.0071,active
19,0.1337,0.0188,active
20,0.1317,0.0236,active
21,0.1306,0.025,active
22,0.1293,0.0072,active
23,0.1312,0.0247,active
24,0.1287,0.0239,active
25,0.1331,0.0122,active
26,0.129,0.0093,active
27,0.1335,0.015,active
28,0.1337,0.0147,active
29,0.1326,0.0089,active
30,0.1318,0.0084,active
31,0.1371,0.0167,active
32,0.1277,0.0145,active
33,0.1347,0.012,active
34,0.1356,0.0078,active
35,0.1342,0.0177,active
36,0.1349,0.0087,active
37,0.1335,0.0174,active
38,0.1316,0.02,active
39,0.1329,0.0211,active
40,0.1299,0.0084,active
41,0.1332,0.0104,active
42,0.132,0.028,active
43,0.1286,0.0132,active
44,0.1286,0.0222,active
45,0.1288,0.014,active
46,0.1381,0.0121,active
47,0.1313,0.0198,active
48,0.1277,0.0185,active
49,0.1327,0.0084,active
50,0.1348,0.0076,active
51,0.1338,0.0237,active
52,0.1335,0.0164,active
53,0.1303,0.0212,active
54,0.13,0.0074,active
55,0.1327,0.017,active
56,0.1325,0.017,active
57,0.1328,0.0104,active
58,0.1346,0.0184,active
59,0.1316,0.0141,active
60,0.1283,0.0095,active
61,0.1324,0.0086,active
62,0.1329,0.01,active
63,0.1323,0.0272,active
64,0.1313,0.0071,active
65,0.1308,0.0084,active
66,0.1348,0.0201,active
67,0.1305,0.0108,active
68,0.1326,0.0076,active
69,0.1362,0.0077,active
70,0.1345,0.0094,active
71,0.1326,0.0265,active
72,0.1275,0.0077,active
73,0.1281,0.0245,active
74,0.1312,0.0118,active
75,0.131,0.0191,active
76,0.136,0.031,active
77,0.1343,0.0096,active
78,0.1293,0.0148,active
79,0.134,0.0118,active
80,0.1297,0.0094,active
81,0.1277,0.0225,active
82,0.1329,0.0197,active
83,0.1335,0.008,active
84,0.1351,0.0082,active
85,0.1289,0.0096,active
86,0.1283,0.0214,active
87,0.1335,0.024,active
88,0.1337,0.0173,active
89,0.1352,0.0079,active
90,0.1315,0.0123,active
91,0.1291,0.0238,active
92,0.131,0.0091,active
93,0.1311,0.0123,active
94,0.1287,0.0195,active
95,0.1329,0.0071,active
96,0.1342,0.0139,active
97,0.1339,0.0081,active
98,0.1326,0.0117,active
99,0.1307,0.0166,active
100,0.1304,0.0089,active
101,0.1329,0.0086,active
102,0.1342,0.0091,active
103,0.1297,0.0251,active
104,0.1347,0.0101,active
105,0.1315,0.0164,active
106,0.1322,0.0083,active
107,0.129,0.0152,active
108,0.1305,0.0086,active
109,0.135,0.0231,active
110,0.1312,0.0166,active
111,0.1356,0.0137,active
112,0.1319,0.0164,active
113,0.1343,0.0221,active
114,0.1308,0.0074,active
115,0.1305,0.0095,active
116,0.1264,0.0071,active
117,0.1255,0.0145,active
118,0.1266,0.0202,active
119,0.127,0.0113,active
120,0.1273,0.0079,active
121,0.1292,0.015,active
122,0.1302,0.0112,active
123,0.1307,0.0074,active
124,0.13,0.009,active
125,0.1304,0.0068,active
126,0.1248,0.0106,active
127,0.1325,0.0149,active
128,0.1317,0.0075,active
129,0.1334,0.0145,active
130,0.1329,0.0086,active
131,0.1345,0.0198,active
132,0.1328,0.019,active
133,0.1338,0.0174,active
134,0.1341,0.0081,active
135,0.1303,0.0152,active
136,0.1292,0.0084,active
137,0.1348,0.0177,active
138,0.1363,0.0097,active
139,0.1349,0.0073,active
140,0.1295,0.0171,active
141,0.1319,0.0114,active
142,0.1304,0.0082,active
143,0.1297,0.0096,active
144,0.1309,0.0113,active
145,0.1344,0.0118,active
146,0.1323,0.0228,active
147,0.1335,0.009,active
148,0.1372,0.0231,active
149,0.1275,0.0228,active
150,0.1282,0.008,active
151,0.1309,0.0163,active
152,0.1315,0.0076,active
153,0.131,0.0114,active
154,0.1331,0.0232,active
155,0.1324,0.0079,active
156,0.1329,0.0116,active
157,0.1304,0.0168,active
158,0.1328,0.0097,active
159,0.1332,0.017,active
160,0.1348,0.0118,active
161,0.1334,0.009,active
162,0.1275,0.0214,active
163,0.1335,0.0082,active
164,0.125,0.0146,active
165,0.1318,0.0227,active
166,0.1297,0.0223,active
167,0.1318,0.0094,active
168,0.1286,0.0145,active
169,0.1298,0.0082,active
170,0.1312,0.013,active
171,0.1352,0.0091,active
172,0.1341,0.0077,active
173,0.1308,0.0134,active
174,0.1318,0.0134,active
175,0.1355,0.0161,active
176,0.1297,0.0222,active
177,0.1279,0.008,active
178,0.1342,0.0094,active
179,0.134,0.0091,active
180,0.1281,0.0091,active
181,0.1288,0.0093,active
182,0.1328,0.0102,active
183,0.1327,0.0109,active
184,0.1325,0.016,active
185,0.1333,0.0112,active
186,0.1339,0.0105,active
187,0.1334,0.0129,active
188,0.1285,0.0128,active
189,0.1345,0.0181,active
190,0.13,0.0082,active
191,0.1365,0.0156,active
192,0.1321,0.0226,active
193,0.1322,0.0079,active
194,0.1314,0.0119,active
195,0.1304,0.0141,active
196,0.1271,0.0078,active
197,0.1376,0.0226,active
198,0.1266,0.0089,active
199,0.1317,0.0152,active
200,0.1357,0.0214,active
201,0.1308,0.0085,active
202,0.1293,0.0148,active
203,0.1307,0.0074,active
204,0.1312,0.0101,active
205,0.1329,0.022,active
206,0.1349,0.0154,active
207,0.1306,0.0096,active
208,0.1339,0.0079,active
209,0.1311,0.008,active
210,0.1282,0.0205,active
211,0.1343,0.0213,active
212,0.1317,0.0108,active
213,0.1312,0.0079,active
214,0.1322,0.0101,active
215,0.1322,0.0098,active
216,0.1293,0.0083,active
217,0.1294,0.0154,active
218,0.1307,0.0227,active
219,0.1338,0.0128,active
220,0.1326,0.0115,active
221,0.1301,0.0236,active
222,0.1303,0.0176,active
223,0.1291,0.0104,active
224,0.1292,0.0091,active
225,0.128,0.0081,active
226,0.129,0.0149,active
227,0.134,0.0079,active
228,0.1298,0.0143,active
229,0.1303,0.0081,active
230,0.1336,0.0159,active
