[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/230 | actifs= 5 | acc=0.767 prec=0.332 recall=0.796 F1=0.469 loss=0.4887 | eps=1.799 | duree=0.265s
[server] round   2/230 | actifs= 5 | acc=0.801 prec=0.364 recall=0.728 F1=0.485 loss=0.4086 | eps=2.545 | duree=0.259s
[server] round   3/230 | actifs= 5 | acc=0.853 prec=0.447 recall=0.612 F1=0.516 loss=0.3380 | eps=3.117 | duree=0.287s
[server] round   4/230 | actifs= 5 | acc=0.890 prec=0.586 recall=0.495 F1=0.537 loss=0.2937 | eps=3.599 | duree=0.222s
[server] round   5/230 | actifs= 5 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.2725 | eps=4.024 | duree=0.22s
[server] round   6/230 | actifs= 5 | acc=0.887 prec=0.741 recall=0.194 F1=0.308 loss=0.2684 | eps=4.408 | duree=0.187s
[server] round   7/230 | actifs= 5 | acc=0.881 prec=0.833 recall=0.097 F1=0.174 loss=0.2754 | eps=4.761 | duree=0.185s
[server] round   8/230 | actifs= 5 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.2857 | eps=5.090 | duree=0.191s
[server] round   9/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.2935 | eps=5.398 | duree=0.185s
[server] round  10/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.2999 | eps=5.690 | duree=0.169s
[server] round  11/230 | actifs= 5 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3036 | eps=5.968 | duree=0.156s
[server] round  12/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3067 | eps=6.233 | duree=0.148s
[server] round  13/230 | actifs= 5 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3112 | eps=6.488 | duree=0.143s
[server] round  14/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3118 | eps=6.733 | duree=0.133s
[server] round  15/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3117 | eps=6.969 | duree=0.164s
[server] round  16/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3112 | eps=7.198 | duree=0.149s
[server] round  17/230 | actifs= 5 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3142 | eps=7.419 | duree=0.147s
[server] round  18/230 | actifs= 5 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3107 | eps=7.634 | duree=0.147s
[server] round  19/230 | actifs= 5 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3124 | eps=7.844 | duree=0.138s
[server] round  20/230 | actifs= 5 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3120 | eps=8.047 | duree=0.145s
[server] round  21/230 | actifs= 5 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3121 | eps=8.246 | duree=0.137s
[server] round  22/230 | actifs= 5 | acc=0.881 prec=0.900 recall=0.087 F1=0.159 loss=0.3103 | eps=8.440 | duree=0.144s
[server] round  23/230 | actifs= 5 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3106 | eps=8.630 | duree=0.143s
[server] round  24/230 | actifs= 5 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3124 | eps=8.815 | duree=0.153s
[server] round  25/230 | actifs= 5 | acc=0.879 prec=0.750 recall=0.087 F1=0.157 loss=0.3130 | eps=8.997 | duree=0.156s
[server] round  26/230 | actifs= 5 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3106 | eps=9.175 | duree=0.246s
[server] round  27/230 | actifs= 5 | acc=0.880 prec=0.769 recall=0.097 F1=0.172 loss=0.3126 | eps=9.350 | duree=0.33s
[server] round  28/230 | actifs= 5 | acc=0.880 prec=0.769 recall=0.097 F1=0.172 loss=0.3103 | eps=9.522 | duree=0.573s
[server] round  29/230 | actifs= 5 | acc=0.877 prec=0.667 recall=0.097 F1=0.169 loss=0.3087 | eps=9.690 | duree=0.342s
[server] round  30/230 | actifs= 5 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3073 | eps=9.856 | duree=0.311s
[server] round  31/230 | actifs= 5 | acc=0.880 prec=0.667 recall=0.136 F1=0.226 loss=0.3037 | eps=10.019 | duree=0.207s
[server] round  32/230 | actifs= 5 | acc=0.880 prec=0.652 recall=0.146 F1=0.238 loss=0.3039 | eps=10.179 | duree=0.207s
[server] round  33/230 | actifs= 5 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3042 | eps=10.337 | duree=0.176s
[server] round  34/230 | actifs= 5 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3051 | eps=10.492 | duree=0.148s
[server] round  35/230 | actifs= 5 | acc=0.881 prec=0.654 recall=0.165 F1=0.264 loss=0.3044 | eps=10.646 | duree=0.266s
[server] round  36/230 | actifs= 5 | acc=0.882 prec=0.667 recall=0.175 F1=0.277 loss=0.3054 | eps=10.797 | duree=0.202s
[server] round  37/230 | actifs= 5 | acc=0.884 prec=0.692 recall=0.175 F1=0.279 loss=0.3050 | eps=10.946 | duree=0.159s
[server] round  38/230 | actifs= 5 | acc=0.882 prec=0.680 recall=0.165 F1=0.266 loss=0.3078 | eps=11.093 | duree=0.221s
[server] round  39/230 | actifs= 5 | acc=0.884 prec=0.708 recall=0.165 F1=0.268 loss=0.3089 | eps=11.238 | duree=0.247s
[server] round  40/230 | actifs= 5 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3101 | eps=11.381 | duree=0.222s
[server] round  41/230 | actifs= 5 | acc=0.881 prec=0.654 recall=0.165 F1=0.264 loss=0.3055 | eps=11.522 | duree=0.666s
[server] round  42/230 | actifs= 5 | acc=0.884 prec=0.679 recall=0.184 F1=0.290 loss=0.3045 | eps=11.662 | duree=0.72s
[server] round  43/230 | actifs= 5 | acc=0.885 prec=0.677 recall=0.204 F1=0.313 loss=0.3043 | eps=11.800 | duree=0.584s
[server] round  44/230 | actifs= 5 | acc=0.886 prec=0.700 recall=0.204 F1=0.316 loss=0.3040 | eps=11.936 | duree=0.361s
[server] round  45/230 | actifs= 5 | acc=0.886 prec=0.700 recall=0.204 F1=0.316 loss=0.3059 | eps=12.071 | duree=0.466s
[server] round  46/230 | actifs= 5 | acc=0.889 prec=0.706 recall=0.233 F1=0.350 loss=0.3057 | eps=12.204 | duree=0.363s
[server] round  47/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3060 | eps=12.336 | duree=0.286s
[server] round  48/230 | actifs= 5 | acc=0.889 prec=0.706 recall=0.233 F1=0.350 loss=0.3069 | eps=12.467 | duree=0.242s
[server] round  49/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3069 | eps=12.596 | duree=0.231s
[server] round  50/230 | actifs= 5 | acc=0.889 prec=0.706 recall=0.233 F1=0.350 loss=0.3090 | eps=12.724 | duree=0.274s
[server] round  51/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3081 | eps=12.851 | duree=0.211s
[server] round  52/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3102 | eps=12.976 | duree=0.354s
[server] round  53/230 | actifs= 5 | acc=0.892 prec=0.730 recall=0.262 F1=0.386 loss=0.3093 | eps=13.100 | duree=0.33s
[server] round  54/230 | actifs= 5 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3084 | eps=13.223 | duree=0.283s
[server] round  55/230 | actifs= 5 | acc=0.892 prec=0.730 recall=0.262 F1=0.386 loss=0.3085 | eps=13.345 | duree=0.222s
[server] round  56/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3115 | eps=13.466 | duree=0.358s
[server] round  57/230 | actifs= 5 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3097 | eps=13.586 | duree=0.31s
[server] round  58/230 | actifs= 5 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3103 | eps=13.704 | duree=0.305s
[server] round  59/230 | actifs= 5 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3100 | eps=13.822 | duree=0.295s
[server] round  60/230 | actifs= 5 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3135 | eps=13.938 | duree=0.342s
[server] round  61/230 | actifs= 5 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3128 | eps=14.054 | duree=0.372s
[server] round  62/230 | actifs= 5 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3129 | eps=14.169 | duree=0.248s
[server] round  63/230 | actifs= 5 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3115 | eps=14.283 | duree=0.262s
[server] round  64/230 | actifs= 5 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3100 | eps=14.396 | duree=0.322s
[server] round  65/230 | actifs= 5 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3105 | eps=14.508 | duree=0.241s
[server] round  66/230 | actifs= 5 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3125 | eps=14.619 | duree=0.309s
[server] round  67/230 | actifs= 5 | acc=0.889 prec=0.675 recall=0.262 F1=0.378 loss=0.3139 | eps=14.729 | duree=0.221s
[server] round  68/230 | actifs= 5 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3164 | eps=14.839 | duree=0.331s
[server] round  69/230 | actifs= 5 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3176 | eps=14.947 | duree=0.36s
[server] round  70/230 | actifs= 5 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3165 | eps=15.055 | duree=0.501s
[server] round  71/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3177 | eps=15.162 | duree=0.385s
[server] round  72/230 | actifs= 5 | acc=0.889 prec=0.675 recall=0.262 F1=0.378 loss=0.3200 | eps=15.269 | duree=0.226s
[server] round  73/230 | actifs= 5 | acc=0.887 prec=0.659 recall=0.262 F1=0.375 loss=0.3176 | eps=15.374 | duree=0.312s
[server] round  74/230 | actifs= 5 | acc=0.887 prec=0.659 recall=0.262 F1=0.375 loss=0.3195 | eps=15.479 | duree=0.318s
[server] round  75/230 | actifs= 5 | acc=0.887 prec=0.659 recall=0.262 F1=0.375 loss=0.3176 | eps=15.584 | duree=0.298s
[server] round  76/230 | actifs= 5 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3182 | eps=15.687 | duree=0.273s
[server] round  77/230 | actifs= 5 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3191 | eps=15.790 | duree=0.219s
[server] round  78/230 | actifs= 5 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3200 | eps=15.892 | duree=0.37s
[server] round  79/230 | actifs= 5 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3220 | eps=15.994 | duree=0.561s
[server] round  80/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3234 | eps=16.095 | duree=0.333s
[server] round  81/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3258 | eps=16.195 | duree=0.355s
[server] round  82/230 | actifs= 5 | acc=0.887 prec=0.659 recall=0.262 F1=0.375 loss=0.3257 | eps=16.295 | duree=0.7s
[server] round  83/230 | actifs= 5 | acc=0.887 prec=0.644 recall=0.282 F1=0.392 loss=0.3245 | eps=16.394 | duree=0.374s
[server] round  84/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3261 | eps=16.492 | duree=0.399s
[server] round  85/230 | actifs= 5 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3247 | eps=16.590 | duree=0.229s
[server] round  86/230 | actifs= 5 | acc=0.895 prec=0.721 recall=0.301 F1=0.425 loss=0.3241 | eps=16.687 | duree=0.29s
[server] round  87/230 | actifs= 5 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3249 | eps=16.784 | duree=0.354s
[server] round  88/230 | actifs= 5 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3258 | eps=16.880 | duree=0.274s
[server] round  89/230 | actifs= 5 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3269 | eps=16.976 | duree=0.299s
