round,grad_norm,duration_s,status
1,1.1494,0.1666,active
2,0.9308,0.1948,active
3,0.8146,0.1625,active
4,0.7473,0.2719,active
5,0.7165,0.2222,active
6,0.7017,0.1964,active
7,0.6617,0.1561,active
8,0.6552,0.1523,active
9,0.6438,0.1481,active
10,0.6213,0.1525,active
11,0.642,0.154,active
12,0.6392,0.1393,active
13,0.6528,0.1589,active
14,0.622,0.1222,active
15,0.6383,0.1659,active
16,0.6453,0.1673,active
17,0.6215,0.1815,active
18,0.6298,0.1356,active
19,0.6462,0.1394,active
20,0.6273,0.1448,active
21,0.6503,0.125,active
22,0.6363,0.1517,active
23,0.6392,0.1562,active
24,0.6308,0.1225,active
25,0.6382,0.1205,active
26,0.6426,0.1743,active
27,0.6602,0.1707,active
28,0.6335,0.1312,active
29,0.6468,0.1283,active
30,0.6539,0.1346,active
31,0.628,0.1143,active
32,0.6446,0.1546,active
33,0.6328,0.1176,active
34,0.6663,0.1275,active
35,0.6442,0.1184,active
36,0.6251,0.1433,active
37,0.6332,0.1531,active
38,0.648,0.1619,active
39,0.6408,0.1164,active
40,0.629,0.282,active
41,0.6129,0.1325,active
42,0.6432,0.1467,active
43,0.6286,0.137,active
44,0.6395,0.2344,active
45,0.6539,0.2111,active
46,0.6329,0.124,active
47,0.6513,0.1281,active
48,0.6248,0.1414,active
49,0.6331,0.116,active
50,0.6239,0.1255,active
51,0.6279,0.1379,active
52,0.624,0.1194,active
53,0.6468,0.1155,active
54,0.6381,0.1491,active
55,0.6388,0.1743,active
56,0.6548,0.1186,active
57,0.653,0.1287,active
58,0.6357,0.1445,active
59,0.6487,0.1362,active
60,0.6237,0.1122,active
61,0.6557,0.1384,active
62,0.633,0.1366,active
63,0.6382,0.1476,active
64,0.6244,0.1157,active
65,0.6423,0.1347,active
66,0.6276,0.1396,active
67,0.6281,0.13,active
68,0.6442,0.1419,active
69,0.63,0.1523,active
70,0.6222,0.1476,active
71,0.6452,0.1439,active
72,0.6487,0.1437,active
73,0.6205,0.1276,active
74,0.6257,0.1644,active
75,0.6326,0.1257,active
76,0.6333,0.141,active
77,0.6298,0.1431,active
78,0.652,0.1494,active
79,0.6499,0.1667,active
80,0.6406,0.1372,active
81,0.6498,0.1352,active
82,0.6325,0.142,active
83,0.6316,0.1546,active
84,0.6443,0.1294,active
85,0.6452,0.1323,active
86,0.6205,0.1589,active
87,0.6388,0.148,active
88,0.6331,0.1359,active
89,0.6349,0.2423,active
90,0.6316,0.1942,active
91,0.6353,0.1467,active
92,0.622,0.1239,active
93,0.6398,0.1454,active
94,0.6112,0.1352,active
95,0.6338,0.1454,active
96,0.6405,0.1577,active
97,0.6275,0.1271,active
98,0.628,0.1458,active
99,0.6249,0.138,active
100,0.6441,0.1441,active
101,0.6459,0.1331,active
102,0.6532,0.141,active
103,0.6261,0.1429,active
104,0.639,0.1425,active
105,0.6319,0.1317,active
106,0.6306,0.1239,active
107,0.6364,0.137,active
108,0.6258,0.1388,active
109,0.6332,0.1696,active
110,0.625,0.1211,active
111,0.6428,0.1378,active
112,0.6497,0.1365,active
113,0.6234,0.1479,active
114,0.6386,0.1391,active
115,0.6352,0.0957,active
116,0.6362,0.1412,active
117,0.6368,0.1295,active
118,0.64,0.1499,active
119,0.658,0.1321,active
120,0.6244,0.1317,active
121,0.6255,0.1461,active
122,0.6297,0.1473,active
123,0.6257,0.1576,active
124,0.6273,0.1584,active
125,0.6638,0.1543,active
126,0.6501,0.1387,active
127,0.6424,0.1164,active
128,0.6275,0.1443,active
129,0.658,0.1489,active
130,0.6284,0.1518,active
131,0.6364,0.2343,active
132,0.6365,0.1867,active
