[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/230 | actifs= 5 | acc=0.749 prec=0.313 recall=0.796 F1=0.449 loss=0.4991 | eps=1.799 | duree=0.198s
[server] round   2/230 | actifs= 5 | acc=0.797 prec=0.364 recall=0.767 F1=0.494 loss=0.4226 | eps=2.545 | duree=0.201s
[server] round   3/230 | actifs= 5 | acc=0.849 prec=0.442 recall=0.660 F1=0.529 loss=0.3484 | eps=3.117 | duree=0.166s
[server] round   4/230 | actifs= 5 | acc=0.892 prec=0.588 recall=0.553 F1=0.570 loss=0.2987 | eps=3.599 | duree=0.276s
[server] (( simulation de decrochage du client 3 au round 5 ))
[server] part de Shamir recue du client 1 pour reconstruire le client 3.
[server] part de Shamir recue du client 2 pour reconstruire le client 3.
[server] part de Shamir recue du client 4 pour reconstruire le client 3.
[server] cle privee du client 3 reconstruite avec succes (3 parts).
[server] round   5/230 | actifs= 4 | acc=0.891 prec=0.660 recall=0.320 F1=0.431 loss=0.2744 | eps=4.024 | duree=0.24s
[server] round   6/230 | actifs= 4 | acc=0.882 prec=0.667 recall=0.175 F1=0.277 loss=0.2687 | eps=4.408 | duree=0.201s
[server] round   7/230 | actifs= 4 | acc=0.880 prec=0.769 recall=0.097 F1=0.172 loss=0.2737 | eps=4.761 | duree=0.159s
[server] round   8/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.2823 | eps=5.090 | duree=0.157s
[server] round   9/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.2932 | eps=5.398 | duree=0.151s
[server] round  10/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.2998 | eps=5.690 | duree=0.155s
[server] round  11/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3046 | eps=5.968 | duree=0.157s
[server] round  12/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3081 | eps=6.233 | duree=0.142s
[server] round  13/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3104 | eps=6.488 | duree=0.162s
[server] round  14/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3126 | eps=6.733 | duree=0.131s
[server] round  15/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3120 | eps=6.969 | duree=0.173s
[server] round  16/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3100 | eps=7.198 | duree=0.171s
[server] round  17/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3138 | eps=7.419 | duree=0.187s
[server] round  18/230 | actifs= 4 | acc=0.877 prec=0.857 recall=0.058 F1=0.109 loss=0.3150 | eps=7.634 | duree=0.146s
[server] round  19/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3161 | eps=7.844 | duree=0.15s
[server] round  20/230 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3167 | eps=8.047 | duree=0.15s
[server] round  21/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3157 | eps=8.246 | duree=0.137s
[server] round  22/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3172 | eps=8.440 | duree=0.156s
[server] round  23/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3154 | eps=8.630 | duree=0.159s
[server] round  24/230 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3143 | eps=8.815 | duree=0.129s
[server] round  25/230 | actifs= 4 | acc=0.881 prec=0.900 recall=0.087 F1=0.159 loss=0.3130 | eps=8.997 | duree=0.134s
[server] round  26/230 | actifs= 4 | acc=0.881 prec=0.900 recall=0.087 F1=0.159 loss=0.3117 | eps=9.175 | duree=0.178s
[server] round  27/230 | actifs= 4 | acc=0.880 prec=0.818 recall=0.087 F1=0.158 loss=0.3101 | eps=9.350 | duree=0.175s
[server] round  28/230 | actifs= 4 | acc=0.877 prec=0.692 recall=0.087 F1=0.155 loss=0.3095 | eps=9.522 | duree=0.14s
[server] round  29/230 | actifs= 4 | acc=0.877 prec=0.692 recall=0.087 F1=0.155 loss=0.3138 | eps=9.690 | duree=0.143s
[server] round  30/230 | actifs= 4 | acc=0.877 prec=0.692 recall=0.087 F1=0.155 loss=0.3132 | eps=9.856 | duree=0.139s
[server] round  31/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3116 | eps=10.019 | duree=0.117s
[server] round  32/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3149 | eps=10.179 | duree=0.158s
[server] round  33/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3120 | eps=10.337 | duree=0.131s
[server] round  34/230 | actifs= 4 | acc=0.881 prec=0.722 recall=0.126 F1=0.215 loss=0.3093 | eps=10.492 | duree=0.131s
