round,grad_norm,duration_s,status
1,0.439,0.0038,active
2,0.4519,0.0132,active
3,0.4154,0.0031,active
4,0.4215,0.0132,active
5,0.4393,0.0025,active
6,0.4366,0.0026,active
7,0.434,0.0025,active
8,0.4147,0.0025,active
9,0.4395,0.0038,active
10,0.4312,0.0025,active
11,0.4252,0.0024,active
12,0.4377,0.0132,active
13,0.4278,0.0059,active
14,0.411,0.0061,active
15,0.4348,0.0032,active
16,0.4459,0.0032,active
17,0.429,0.0133,active
18,0.4039,0.0025,active
19,0.4186,0.0024,active
20,0.406,0.0138,active
21,0.4273,0.0026,active
22,0.4084,0.0031,active
23,0.4228,0.007,active
24,0.4069,0.0032,active
25,0.3943,0.0036,active
26,0.414,0.0036,active
27,0.4097,0.0025,active
28,0.3913,0.0076,active
29,0.4141,0.0025,active
30,0.417,0.0024,active
31,0.4092,0.003,active
32,0.3965,0.0084,active
33,0.4154,0.0025,active
34,0.3943,0.0031,active
35,0.3977,0.0134,active
36,0.4005,0.0025,active
37,0.3936,0.0028,active
38,0.4082,0.0044,active
39,0.3968,0.0137,active
40,0.409,0.0024,active
41,0.3934,0.0068,active
42,0.4097,0.0027,active
43,0.4059,0.0067,active
44,0.4019,0.0025,active
45,0.4013,0.0026,active
46,0.4222,0.0079,active
47,0.3973,0.0034,active
48,0.3975,0.0126,active
49,0.3755,0.0036,active
50,0.4064,0.0024,active
51,0.4126,0.005,active
52,0.4053,0.0027,active
53,0.3985,0.0092,active
54,0.4112,0.0024,active
55,0.4044,0.0026,active
56,0.4353,0.0135,active
57,0.4152,0.0024,active
58,0.4054,0.0026,active
59,0.3904,0.0045,active
60,0.4211,0.0026,active
61,0.3776,0.0052,active
62,0.4064,0.0127,active
63,0.4092,0.0023,active
64,0.4201,0.0026,active
65,0.3917,0.0077,active
66,0.4051,0.0024,active
67,0.4033,0.0042,active
68,0.3862,0.0025,active
69,0.3975,0.0078,active
70,0.3986,0.0024,active
71,0.3977,0.0027,active
72,0.4226,0.0072,active
73,0.398,0.0131,active
74,0.4164,0.012,active
75,0.4165,0.0023,active
76,0.389,0.0066,active
77,0.3911,0.0023,active
78,0.3926,0.0025,active
79,0.3989,0.0026,active
80,0.4123,0.0082,active
81,0.4112,0.0094,active
82,0.4117,0.0132,active
83,0.4007,0.0023,active
84,0.4059,0.0028,active
85,0.4032,0.013,active
86,0.4248,0.0025,active
87,0.4043,0.0028,active
88,0.3951,0.004,active
89,0.3918,0.0037,active
90,0.3968,0.0024,active
91,0.4104,0.005,active
92,0.4056,0.0025,active
93,0.3913,0.0051,active
94,0.412,0.0131,active
95,0.4091,0.0023,active
96,0.4131,0.0025,active
97,0.3994,0.0029,active
98,0.3991,0.0133,active
99,0.4105,0.0024,active
100,0.4028,0.0027,active
101,0.4017,0.0024,active
102,0.4136,0.0132,active
103,0.4154,0.0117,active
104,0.3888,0.0024,active
105,0.3869,0.0129,active
106,0.4049,0.0131,active
107,0.3985,0.0024,active
108,0.3853,0.0079,active
109,0.4222,0.003,active
110,0.3748,0.0126,active
111,0.4079,0.0024,active
112,0.4176,0.0026,active
113,0.4023,0.0076,active
114,0.4085,0.0037,active
115,0.4159,0.0053,active
116,0.3946,0.003,active
117,0.4055,0.0075,active
118,0.3971,0.0024,active
119,0.3967,0.0028,active
