[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/230 | actifs= 5 | acc=0.812 prec=0.326 recall=0.427 F1=0.370 loss=0.6551 | eps=7.998 | duree=0.099s
[server] round   2/230 | actifs= 5 | acc=0.870 prec=0.493 recall=0.320 F1=0.388 loss=0.6212 | eps=11.310 | duree=0.081s
[server] round   3/230 | actifs= 5 | acc=0.880 prec=0.585 recall=0.233 F1=0.333 loss=0.5898 | eps=13.852 | duree=0.04s
[server] round   4/230 | actifs= 5 | acc=0.886 prec=0.700 recall=0.204 F1=0.316 loss=0.5607 | eps=15.995 | duree=0.061s
[server] round   5/230 | actifs= 5 | acc=0.884 prec=0.778 recall=0.136 F1=0.231 loss=0.5341 | eps=17.883 | duree=0.062s
[server] round   6/230 | actifs= 5 | acc=0.882 prec=0.765 recall=0.126 F1=0.217 loss=0.5103 | eps=19.590 | duree=0.075s
[server] round   7/230 | actifs= 5 | acc=0.885 prec=0.824 recall=0.136 F1=0.233 loss=0.4880 | eps=21.160 | duree=0.07s
[server] round   8/230 | actifs= 5 | acc=0.884 prec=0.857 recall=0.117 F1=0.205 loss=0.4685 | eps=22.620 | duree=0.075s
[server] round   9/230 | actifs= 5 | acc=0.880 prec=0.818 recall=0.087 F1=0.158 loss=0.4497 | eps=23.993 | duree=0.05s
[server] round  10/230 | actifs= 5 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.4337 | eps=25.290 | duree=0.077s
[server] round  11/230 | actifs= 5 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.4186 | eps=26.525 | duree=0.083s
[server] round  12/230 | actifs= 5 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.4061 | eps=27.704 | duree=0.087s
[server] round  13/230 | actifs= 5 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3947 | eps=28.836 | duree=0.073s
[server] round  14/230 | actifs= 5 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3846 | eps=29.924 | duree=0.104s
[server] round  15/230 | actifs= 5 | acc=0.876 prec=1.000 recall=0.039 F1=0.075 loss=0.3751 | eps=30.974 | duree=0.076s
[server] round  16/230 | actifs= 5 | acc=0.876 prec=1.000 recall=0.039 F1=0.075 loss=0.3674 | eps=31.990 | duree=0.036s
[server] round  17/230 | actifs= 5 | acc=0.876 prec=1.000 recall=0.039 F1=0.075 loss=0.3603 | eps=32.975 | duree=0.069s
[server] round  18/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3539 | eps=33.931 | duree=0.068s
[server] round  19/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3486 | eps=34.860 | duree=0.034s
[server] round  20/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3436 | eps=35.766 | duree=0.069s
[server] round  21/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3387 | eps=36.649 | duree=0.07s
[server] round  22/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3349 | eps=37.512 | duree=0.043s
[server] round  23/230 | actifs= 5 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3318 | eps=38.355 | duree=0.057s
[server] round  24/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3292 | eps=39.180 | duree=0.079s
[server] round  25/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3263 | eps=39.988 | duree=0.055s
[server] round  26/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3240 | eps=40.780 | duree=0.047s
[server] round  27/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3223 | eps=41.556 | duree=0.038s
[server] round  28/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3209 | eps=42.319 | duree=0.058s
[server] round  29/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3197 | eps=43.068 | duree=0.072s
[server] round  30/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3183 | eps=43.804 | duree=0.065s
[server] round  31/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3172 | eps=44.528 | duree=0.04s
[server] round  32/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3166 | eps=45.241 | duree=0.063s
[server] round  33/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3164 | eps=45.942 | duree=0.07s
[server] round  34/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3161 | eps=46.633 | duree=0.045s
[server] round  35/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3160 | eps=47.314 | duree=0.069s
[server] round  36/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3157 | eps=47.985 | duree=0.063s
[server] round  37/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3155 | eps=48.647 | duree=0.056s
[server] round  38/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3155 | eps=49.300 | duree=0.046s
[server] round  39/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3153 | eps=49.945 | duree=0.067s
[server] round  40/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3155 | eps=50.581 | duree=0.066s
[server] round  41/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3153 | eps=51.209 | duree=0.065s
[server] round  42/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3155 | eps=51.830 | duree=0.038s
[server] round  43/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3158 | eps=52.443 | duree=0.054s
[server] round  44/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3157 | eps=53.050 | duree=0.064s
[server] round  45/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3166 | eps=53.649 | duree=0.043s
[server] round  46/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3169 | eps=54.242 | duree=0.076s
[server] round  47/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3170 | eps=54.828 | duree=0.049s
[server] round  48/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3179 | eps=55.409 | duree=0.076s
[server] round  49/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3189 | eps=55.983 | duree=0.044s
[server] round  50/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3198 | eps=56.551 | duree=0.083s
[server] round  51/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3206 | eps=57.114 | duree=0.066s
[server] round  52/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3216 | eps=57.671 | duree=0.04s
[server] round  53/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3226 | eps=58.223 | duree=0.064s
