round,grad_norm,duration_s,status
1,1.308,0.0281,active
2,1.3253,0.0155,active
3,1.3002,0.0176,active
4,1.2987,0.0133,active
5,1.2753,0.0116,active
6,1.1678,0.0097,active
7,1.0667,0.0268,active
8,0.9717,0.0102,active
9,0.8759,0.0106,active
10,0.8814,0.0339,active
11,0.835,0.0113,active
12,0.8193,0.0098,active
13,0.7661,0.0285,active
14,0.8056,0.016,active
15,0.8235,0.0088,active
16,0.8058,0.0097,active
17,0.7844,0.0224,active
18,0.7914,0.0195,active
19,0.8095,0.0123,active
20,0.7691,0.0238,active
21,0.8225,0.0242,active
22,0.8132,0.0155,active
23,0.8094,0.0118,active
24,0.731,0.016,active
25,0.7341,0.0217,active
26,0.7859,0.0232,active
27,0.7683,0.0305,active
28,0.7988,0.0329,active
29,0.7955,0.0324,active
30,0.788,0.0127,active
31,0.7673,0.0117,active
32,0.8092,0.0144,active
33,0.7744,0.0198,active
34,0.8177,0.0274,active
35,0.7092,0.0143,active
36,0.7486,0.0157,active
37,0.8084,0.0087,active
38,0.807,0.0145,active
39,0.7492,0.0333,active
40,0.7361,0.008,active
41,0.7864,0.0104,active
42,0.7803,0.0254,active
43,0.7623,0.016,active
44,0.7341,0.0304,active
45,0.7955,0.0293,active
46,0.7926,0.0081,active
47,0.8061,0.0092,active
48,0.7859,0.0107,active
49,0.8198,0.0086,active
50,0.8247,0.0147,active
51,0.7528,0.0199,active
52,0.7729,0.0186,active
53,0.8057,0.011,active
54,0.8099,0.0091,active
55,0.8297,0.0124,active
56,0.7994,0.0245,active
57,0.804,0.0105,active
58,0.7699,0.0114,active
59,0.7806,0.0245,active
60,0.8518,0.0304,active
61,0.762,0.031,active
62,0.7635,0.0289,active
63,0.7791,0.0228,active
64,0.8114,0.0307,active
65,0.7566,0.0289,active
66,0.8018,0.0231,active
67,0.7771,0.0269,active
68,0.7969,0.0255,active
69,0.8128,0.0162,active
70,0.811,0.0112,active
71,0.7847,0.0258,active
72,0.7586,0.0208,active
73,0.8011,0.017,active
74,0.7754,0.0184,active
75,0.8237,0.0347,active
76,0.8382,0.0135,active
77,0.7861,0.0132,active
78,0.7995,0.0115,active
79,0.8226,0.0135,active
80,0.7836,0.018,active
81,0.8212,0.0256,active
82,0.8011,0.0274,active
83,0.7971,0.01,active
84,0.7868,0.0091,active
85,0.7849,0.0107,active
86,0.8131,0.0184,active
87,0.7852,0.0299,active
88,0.7917,0.0305,active
89,0.7953,0.0262,active
90,0.8311,0.0258,active
91,0.8112,0.0275,active
92,0.786,0.0162,active
93,0.7751,0.0104,active
94,0.7973,0.0235,active
95,0.7795,0.0255,active
96,0.7917,0.0283,active
97,0.7949,0.0329,active
98,0.7666,0.025,active
99,0.7861,0.0244,active
100,0.8245,0.0292,active
101,0.8062,0.0268,active
102,0.7968,0.0225,active
103,0.7979,0.0229,active
104,0.7696,0.0116,active
105,0.7593,0.03,active
106,0.8166,0.0292,active
107,0.7892,0.0242,active
108,0.8055,0.0297,active
109,0.7999,0.0117,active
110,0.8107,0.0099,active
111,0.7539,0.0242,active
112,0.7761,0.0309,active
113,0.7738,0.029,active
114,0.7851,0.0244,active
115,0.7401,0.0196,active
116,0.8025,0.0127,active
117,0.8134,0.0118,active
118,0.7865,0.0087,active
119,0.8334,0.0127,active
120,0.7703,0.0238,active
121,0.7807,0.0293,active
122,0.78,0.021,active
123,0.8343,0.0138,active
124,0.838,0.01,active
125,0.7888,0.0079,active
126,0.7659,0.0084,active
127,0.803,0.0115,active
128,0.826,0.0136,active
129,0.8391,0.0119,active
130,0.8263,0.0223,active
131,0.8172,0.0297,active
132,0.7997,0.0277,active
133,0.8148,0.0284,active
134,0.8176,0.0279,active
135,0.7854,0.024,active
136,0.8092,0.0298,active
137,0.8117,0.0288,active
138,0.7868,0.0311,active
139,0.812,0.0214,active
140,0.7513,0.0244,active
141,0.7915,0.0139,active
142,0.8514,0.024,active
143,0.7987,0.0315,active
144,0.7661,0.0175,active
145,0.7723,0.0156,active
146,0.7812,0.0269,active
147,0.7628,0.0103,active
148,0.7724,0.0308,active
149,0.775,0.0163,active
150,0.7545,0.0325,active
151,0.7269,0.0291,active
152,0.7975,0.0098,active
153,0.7868,0.0269,active
154,0.7692,0.0314,active
155,0.7699,0.03,active
156,0.7829,0.0278,active
157,0.7804,0.0129,active
158,0.7673,0.0253,active
159,0.7955,0.0228,active
160,0.8189,0.0318,active
161,0.7948,0.0257,active
162,0.7738,0.0164,active
163,0.785,0.0304,active
164,0.8,0.0205,active
165,0.788,0.0199,active
166,0.7975,0.0075,active
167,0.7829,0.01,active
168,0.788,0.0126,active
169,0.7988,0.0165,active
170,0.8003,0.0222,active
171,0.8195,0.0293,active
172,0.8198,0.0301,active
173,0.8368,0.0272,active
174,0.802,0.03,active
175,0.7871,0.0314,active
176,0.8019,0.0278,active
177,0.8086,0.0249,active
178,0.8075,0.0136,active
179,0.7938,0.0316,active
180,0.7829,0.0261,active
181,0.8168,0.02,active
182,0.7617,0.0112,active
183,0.782,0.0164,active
184,0.7287,0.0214,active
185,0.7673,0.0161,active
186,0.7935,0.0223,active
187,0.7663,0.0271,active
188,0.7976,0.023,active
189,0.7659,0.0358,active
190,0.8077,0.0142,active
191,0.7991,0.0165,active
192,0.7857,0.0209,active
193,0.8236,0.0266,active
194,0.7939,0.0279,active
195,0.8249,0.0183,active
196,0.7605,0.0234,active
197,0.794,0.0299,active
198,0.784,0.0291,active
199,0.8371,0.0273,active
200,0.7822,0.0286,active
201,0.7594,0.0262,active
202,0.8115,0.0209,active
203,0.8252,0.0137,active
204,0.7858,0.026,active
205,0.7996,0.0293,active
206,0.8149,0.0259,active
207,0.7903,0.0275,active
208,0.803,0.0269,active
209,0.7868,0.0296,active
210,0.7756,0.0268,active
211,0.824,0.0296,active
212,0.8279,0.0187,active
213,0.7833,0.0236,active
214,0.8105,0.0247,active
215,0.8098,0.0076,active
216,0.799,0.0176,active
217,0.7804,0.0113,active
218,0.8048,0.0129,active
219,0.8133,0.02,active
220,0.7663,0.0175,active
221,0.7996,0.0124,active
222,0.8187,0.013,active
223,0.7783,0.0264,active
224,0.8178,0.021,active
225,0.7822,0.0264,active
226,0.8167,0.0299,active
227,0.7826,0.0295,active
228,0.7365,0.0301,active
229,0.7871,0.0266,active
230,0.7889,0.0253,active
