[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/230 | actifs= 5 | acc=0.805 prec=0.307 recall=0.408 F1=0.350 loss=0.6552 | eps=7.998 | duree=0.148s
[server] round   2/230 | actifs= 5 | acc=0.866 prec=0.476 recall=0.379 F1=0.422 loss=0.6221 | eps=11.310 | duree=0.067s
[server] round   3/230 | actifs= 5 | acc=0.874 prec=0.517 recall=0.291 F1=0.373 loss=0.5907 | eps=13.852 | duree=0.081s
[server] round   4/230 | actifs= 5 | acc=0.882 prec=0.610 recall=0.243 F1=0.347 loss=0.5625 | eps=15.995 | duree=0.086s
[server] (( simulation de decrochage du client 3 au round 5 ))
[server] round   5/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.4333 | eps=17.883 | duree=0.086s
[server] round   6/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3683 | eps=19.590 | duree=0.079s
[server] round   7/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3408 | eps=21.160 | duree=0.075s
[server] round   8/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3305 | eps=22.620 | duree=0.082s
[server] round   9/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3290 | eps=23.993 | duree=0.083s
[server] round  10/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3337 | eps=25.290 | duree=0.119s
[server] round  11/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3388 | eps=26.525 | duree=0.082s
[server] round  12/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3437 | eps=27.704 | duree=0.082s
[server] round  13/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3473 | eps=28.836 | duree=0.102s
[server] round  14/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3476 | eps=29.924 | duree=0.103s
[server] round  15/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3525 | eps=30.974 | duree=0.082s
[server] round  16/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3552 | eps=31.990 | duree=0.076s
[server] round  17/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3587 | eps=32.975 | duree=0.103s
[server] round  18/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3595 | eps=33.931 | duree=0.098s
[server] round  19/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3594 | eps=34.860 | duree=0.109s
[server] round  20/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3594 | eps=35.766 | duree=0.131s
[server] round  21/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3603 | eps=36.649 | duree=0.093s
[server] round  22/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3582 | eps=37.512 | duree=0.096s
[server] round  23/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3625 | eps=38.355 | duree=0.066s
[server] round  24/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3598 | eps=39.180 | duree=0.052s
[server] round  25/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3567 | eps=39.988 | duree=0.064s
[server] round  26/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3590 | eps=40.780 | duree=0.065s
[server] round  27/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3589 | eps=41.556 | duree=0.074s
[server] round  28/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3589 | eps=42.319 | duree=0.076s
[server] round  29/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3594 | eps=43.068 | duree=0.118s
[server] round  30/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3588 | eps=43.804 | duree=0.077s
[server] round  31/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3575 | eps=44.528 | duree=0.058s
[server] round  32/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3568 | eps=45.241 | duree=0.054s
[server] round  33/230 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3551 | eps=45.942 | duree=0.061s
[server] round  34/230 | actifs= 4 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3522 | eps=46.633 | duree=0.099s
[server] round  35/230 | actifs= 4 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3512 | eps=47.314 | duree=0.079s
[server] round  36/230 | actifs= 4 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3498 | eps=47.985 | duree=0.083s
[server] round  37/230 | actifs= 4 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3476 | eps=48.647 | duree=0.055s
[server] round  38/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3467 | eps=49.300 | duree=0.067s
[server] round  39/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3452 | eps=49.945 | duree=0.082s
[server] round  40/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3437 | eps=50.581 | duree=0.069s
[server] round  41/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3425 | eps=51.209 | duree=0.042s
[server] round  42/230 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3437 | eps=51.830 | duree=0.092s
[server] round  43/230 | actifs= 4 | acc=0.873 prec=0.667 recall=0.019 F1=0.038 loss=0.3441 | eps=52.443 | duree=0.048s
[server] round  44/230 | actifs= 4 | acc=0.873 prec=0.667 recall=0.019 F1=0.038 loss=0.3429 | eps=53.050 | duree=0.071s
[server] round  45/230 | actifs= 4 | acc=0.873 prec=0.667 recall=0.019 F1=0.038 loss=0.3398 | eps=53.649 | duree=0.071s
[server] round  46/230 | actifs= 4 | acc=0.874 prec=0.750 recall=0.029 F1=0.056 loss=0.3399 | eps=54.242 | duree=0.072s
[server] round  47/230 | actifs= 4 | acc=0.873 prec=0.667 recall=0.019 F1=0.038 loss=0.3398 | eps=54.828 | duree=0.068s
[server] round  48/230 | actifs= 4 | acc=0.873 prec=0.667 recall=0.019 F1=0.038 loss=0.3365 | eps=55.409 | duree=0.071s
[server] round  49/230 | actifs= 4 | acc=0.874 prec=0.750 recall=0.029 F1=0.056 loss=0.3344 | eps=55.983 | duree=0.069s
[server] round  50/230 | actifs= 4 | acc=0.874 prec=0.750 recall=0.029 F1=0.056 loss=0.3333 | eps=56.551 | duree=0.056s
[server] round  51/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3316 | eps=57.114 | duree=0.071s
[server] round  52/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3316 | eps=57.671 | duree=0.078s
[server] round  53/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3316 | eps=58.223 | duree=0.069s
[server] round  54/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3293 | eps=58.770 | duree=0.064s
[server] round  55/230 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3280 | eps=59.311 | duree=0.044s
[server] round  56/230 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3291 | eps=59.848 | duree=0.067s
