round,grad_norm,duration_s,status
1,1.0,0.0033,active
2,0.9658,0.0023,active
3,0.9846,0.0115,active
4,1.0196,0.0022,active
5,1.006,0.0023,active
6,0.9272,0.0023,active
7,0.9538,0.0056,active
8,1.0075,0.0076,active
9,0.8955,0.0055,active
10,0.8516,0.0027,active
11,0.9601,0.003,active
12,0.9136,0.0032,active
13,0.9875,0.0065,active
14,0.9632,0.0057,active
15,1.1495,0.0033,active
16,1.1281,0.0032,active
17,1.0598,0.004,active
18,0.9888,0.0073,active
19,0.9068,0.0061,active
20,0.947,0.0054,active
21,0.9263,0.0027,active
22,0.9931,0.0065,active
23,0.9032,0.0026,active
24,0.94,0.0031,active
25,0.9921,0.0107,active
26,0.8804,0.0041,active
27,0.9735,0.0027,active
28,0.9489,0.0084,active
29,0.9127,0.0062,active
30,0.92,0.0022,active
31,1.0217,0.0025,active
32,0.9031,0.0034,active
33,0.8696,0.005,active
34,0.9629,0.0103,active
35,0.9311,0.0026,active
36,0.9315,0.0083,active
37,0.9138,0.0049,active
38,0.8781,0.009,active
39,0.8661,0.005,active
40,0.9167,0.0118,active
41,0.956,0.0052,active
42,1.0885,0.0022,active
43,0.9257,0.0021,active
44,0.9424,0.0034,active
45,0.9558,0.0061,active
46,0.8749,0.0025,active
47,1.1206,0.0051,active
48,0.8905,0.0029,active
49,0.9217,0.0051,active
50,0.8706,0.0023,active
51,0.9232,0.0038,active
52,0.8854,0.0093,active
53,0.9284,0.0066,active
54,0.9877,0.0075,active
55,0.9678,0.0022,active
56,0.9622,0.0025,active
57,0.9604,0.0063,active
58,0.9086,0.012,active
59,0.9481,0.0025,active
60,0.9435,0.0051,active
61,0.9766,0.0051,active
62,0.9367,0.012,active
63,0.9277,0.0051,active
64,1.0892,0.0113,active
65,0.9446,0.0068,active
66,0.8887,0.0025,active
67,0.9001,0.0058,active
68,0.9021,0.0033,active
69,0.9201,0.0022,active
70,0.8948,0.0025,active
71,0.9977,0.0122,active
72,0.9199,0.0088,active
73,0.972,0.0124,active
74,0.9493,0.0022,active
75,0.8783,0.0028,active
76,0.9774,0.005,active
77,1.0958,0.0112,active
78,0.9545,0.0118,active
79,0.9049,0.0117,active
80,0.9355,0.0022,active
81,0.9503,0.0027,active
82,0.9825,0.0071,active
83,0.906,0.0102,active
84,0.9162,0.0062,active
85,0.9659,0.0124,active
86,0.8836,0.0058,active
87,1.0726,0.0054,active
88,0.9367,0.0051,active
89,0.9968,0.0116,active
90,1.0722,0.0024,active
91,0.9028,0.0026,active
92,0.9878,0.0033,active
93,0.9482,0.0049,active
94,0.944,0.0052,active
95,0.9635,0.0024,active
96,0.9161,0.0054,active
97,0.9048,0.01,active
98,0.8507,0.012,active
99,0.913,0.0055,active
100,0.913,0.0022,active
