[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.5562 | eps=4.799 | duree=0.098s
[server] round   2/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.4663 | eps=6.786 | duree=0.074s
[server] round   3/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.4089 | eps=8.311 | duree=0.067s
[server] round   4/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3730 | eps=9.597 | duree=0.071s
[server] round   5/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3521 | eps=10.730 | duree=0.076s
[server] round   6/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3405 | eps=11.754 | duree=0.078s
[server] round   7/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3350 | eps=12.696 | duree=0.07s
[server] round   8/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3334 | eps=13.572 | duree=0.085s
[server] round   9/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3344 | eps=14.396 | duree=0.109s
[server] round  10/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3365 | eps=15.174 | duree=0.065s
[server] round  11/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3388 | eps=15.915 | duree=0.066s
[server] round  12/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3422 | eps=16.623 | duree=0.054s
[server] round  13/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3456 | eps=17.301 | duree=0.078s
[server] round  14/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3482 | eps=17.954 | duree=0.086s
[server] round  15/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3502 | eps=18.585 | duree=0.077s
[server] round  16/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3516 | eps=19.194 | duree=0.068s
[server] round  17/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3544 | eps=19.785 | duree=0.109s
[server] round  18/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3559 | eps=20.358 | duree=0.076s
[server] round  19/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3575 | eps=20.916 | duree=0.081s
[server] round  20/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3593 | eps=21.460 | duree=0.064s
[server] round  21/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3606 | eps=21.990 | duree=0.059s
