round,grad_norm,duration_s,status
1,2.6552,0.0767,active
2,2.3727,0.0559,active
3,2.1212,0.0751,active
4,1.8998,0.0616,active
5,1.674,0.0646,active
6,1.3898,0.1036,active
7,1.1639,0.0517,active
8,1.0172,0.0677,active
9,0.8665,0.0746,active
10,0.7932,0.0776,active
11,0.7061,0.067,active
12,0.6564,0.0354,active
13,0.639,0.0724,active
14,0.6053,0.0664,active
15,0.5675,0.0665,active
16,0.5549,0.0697,active
17,0.5466,0.0871,active
18,0.5296,0.0996,active
19,0.518,0.0781,active
20,0.5151,0.0541,active
21,0.5236,0.0531,active
22,0.5272,0.1181,active
23,0.5227,0.0846,active
24,0.5211,0.0635,active
25,0.4978,0.0705,active
26,0.5018,0.0727,active
27,0.521,0.0682,active
28,0.5254,0.0663,active
29,0.5186,0.0643,active
30,0.5197,0.0318,active
31,0.5038,0.0494,active
32,0.4998,0.0601,active
33,0.5122,0.0446,active
34,0.5188,0.0423,active
35,0.517,0.0633,active
36,0.5015,0.063,active
37,0.4613,0.0669,active
38,0.4729,0.0424,active
39,0.4505,0.0321,active
40,0.4589,0.0312,active
41,0.4671,0.0559,active
42,0.4114,0.0606,active
43,0.4453,0.08,active
44,0.4269,0.032,active
45,0.4166,0.0665,active
46,0.4055,0.0631,active
47,0.427,0.0514,active
48,0.4168,0.0546,active
49,0.4228,0.0377,active
50,0.4316,0.055,active
51,0.4157,0.059,active
52,0.4172,0.0369,active
53,0.4152,0.0585,active
54,0.4151,0.0581,active
55,0.403,0.0324,active
56,0.3844,0.0604,active
57,0.3962,0.0757,active
58,0.3928,0.0545,active
59,0.3751,0.0811,active
60,0.3941,0.0495,active
61,0.3863,0.0388,active
62,0.3746,0.0645,active
63,0.3966,0.1592,active
64,0.3928,0.1061,active
65,0.3945,0.0736,active
66,0.3792,0.0645,active
67,0.3863,0.0313,active
68,0.3756,0.0569,active
69,0.3831,0.0567,active
70,0.3817,0.0722,active
71,0.3667,0.0349,active
72,0.36,0.0573,active
73,0.3995,0.0328,active
74,0.3835,0.0635,active
75,0.361,0.0337,active
76,0.3571,0.0569,active
77,0.3848,0.0598,active
78,0.3744,0.0634,active
79,0.4014,0.0609,active
80,0.3624,0.0313,active
81,0.3626,0.0574,active
82,0.383,0.0559,active
83,0.3673,0.0328,active
84,0.3777,0.0561,active
85,0.3685,0.0591,active
86,0.3755,0.0448,active
87,0.3877,0.051,active
88,0.3377,0.0357,active
89,0.3669,0.0704,active
90,0.3679,0.0762,active
91,0.3788,0.0647,active
92,0.3877,0.0354,active
93,0.341,0.057,active
94,0.3506,0.0327,active
95,0.3633,0.0564,active
96,0.3509,0.0572,active
97,0.3884,0.0602,active
98,0.3528,0.061,active
99,0.3572,0.0659,active
100,0.3695,0.0426,active
