[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round   1/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.5566 | eps=4.799 | duree=0.121s
[server] round   2/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.4670 | eps=6.786 | duree=0.06s
[server] round   3/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.4094 | eps=8.311 | duree=0.077s
[server] round   4/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3740 | eps=9.597 | duree=0.063s
[server] (( simulation de decrochage du client 3 au round 5 ))
[server] round   5/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3391 | eps=10.730 | duree=0.067s
[server] round   6/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3225 | eps=11.754 | duree=0.108s
[server] round   7/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3157 | eps=12.696 | duree=0.076s
[server] round   8/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3125 | eps=13.572 | duree=0.071s
[server] round   9/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3133 | eps=14.396 | duree=0.079s
[server] round  10/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3136 | eps=15.174 | duree=0.086s
[server] round  11/100 | actifs= 4 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3132 | eps=15.915 | duree=0.069s
[server] round  12/100 | actifs= 4 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3145 | eps=16.623 | duree=0.042s
[server] round  13/100 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3145 | eps=17.301 | duree=0.077s
[server] round  14/100 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3142 | eps=17.954 | duree=0.07s
[server] round  15/100 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3155 | eps=18.585 | duree=0.071s
[server] round  16/100 | actifs= 4 | acc=0.874 prec=1.000 recall=0.019 F1=0.038 loss=0.3159 | eps=19.194 | duree=0.072s
[server] round  17/100 | actifs= 4 | acc=0.874 prec=0.750 recall=0.029 F1=0.056 loss=0.3159 | eps=19.785 | duree=0.089s
[server] round  18/100 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3161 | eps=20.358 | duree=0.103s
[server] round  19/100 | actifs= 4 | acc=0.875 prec=0.800 recall=0.039 F1=0.074 loss=0.3174 | eps=20.916 | duree=0.081s
[server] round  20/100 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3176 | eps=21.460 | duree=0.057s
[server] round  21/100 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3170 | eps=21.990 | duree=0.055s
[server] round  22/100 | actifs= 4 | acc=0.876 prec=0.833 recall=0.049 F1=0.092 loss=0.3157 | eps=22.507 | duree=0.121s
[server] round  23/100 | actifs= 4 | acc=0.879 prec=0.875 recall=0.068 F1=0.126 loss=0.3151 | eps=23.013 | duree=0.092s
[server] round  24/100 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3142 | eps=23.508 | duree=0.065s
[server] round  25/100 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3139 | eps=23.993 | duree=0.072s
[server] round  26/100 | actifs= 4 | acc=0.880 prec=0.889 recall=0.078 F1=0.143 loss=0.3133 | eps=24.468 | duree=0.074s
