round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.162,0.7638,0.3307,0.8155,0.4706,0.4928,4.7985
2,5,0.151,0.8037,0.3702,0.7476,0.4952,0.4128,6.7861
3,5,0.139,0.8538,0.4507,0.6214,0.5224,0.3415,8.3113
4,5,0.125,0.8925,0.5914,0.534,0.5612,0.2942,9.5971
5,4,0.133,0.895,0.6727,0.3592,0.4684,0.2723,10.7298
6,4,0.142,0.8825,0.6667,0.1748,0.2769,0.2687,11.7539
7,4,0.202,0.8812,0.8333,0.0971,0.1739,0.2762,12.6957
8,4,0.196,0.8788,0.875,0.068,0.1261,0.2856,13.5723
9,4,0.208,0.8762,0.8333,0.0485,0.0917,0.2923,14.3956
10,4,0.095,0.8762,0.8333,0.0485,0.0917,0.3,15.1743
11,4,0.14,0.8762,0.8333,0.0485,0.0917,0.3033,15.9149
12,4,0.158,0.8738,0.75,0.0291,0.0561,0.3079,16.6226
13,4,0.159,0.8762,0.8333,0.0485,0.0917,0.3091,17.3013
14,4,0.093,0.8775,0.8571,0.0583,0.1091,0.3105,17.9544
15,4,0.089,0.8775,0.8571,0.0583,0.1091,0.312,18.5846
16,4,0.096,0.8775,0.8571,0.0583,0.1091,0.3115,19.1941
17,4,0.1,0.8775,0.8571,0.0583,0.1091,0.3118,19.7848
18,4,0.104,0.8775,0.8571,0.0583,0.1091,0.3122,20.3584
19,4,0.073,0.88,0.8889,0.0777,0.1429,0.3116,20.9163
20,4,0.073,0.88,0.8889,0.0777,0.1429,0.3113,21.4597
21,4,0.103,0.88,0.8889,0.0777,0.1429,0.3107,21.9896
22,4,0.115,0.88,0.8889,0.0777,0.1429,0.3095,22.5071
23,4,0.089,0.8812,0.9,0.0874,0.1593,0.3099,23.0129
24,4,0.068,0.8812,0.9,0.0874,0.1593,0.3103,23.5079
25,4,0.07,0.8812,0.9,0.0874,0.1593,0.3104,23.9926
26,4,0.11,0.88,0.8182,0.0874,0.1579,0.3102,24.4678
27,4,0.142,0.88,0.8182,0.0874,0.1579,0.3099,24.9339
28,4,0.171,0.8788,0.7143,0.0971,0.1709,0.3093,25.3914
29,4,0.083,0.8788,0.6875,0.1068,0.1849,0.3085,25.8409
30,4,0.093,0.8788,0.6875,0.1068,0.1849,0.3077,26.2826
31,4,0.082,0.8788,0.6667,0.1165,0.1983,0.3076,26.7171
32,4,0.094,0.8788,0.6667,0.1165,0.1983,0.3075,27.1446
33,4,0.093,0.8812,0.7,0.1359,0.2276,0.307,27.5654
