round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.265,0.7675,0.332,0.7961,0.4686,0.4887,1.7994
2,5,0.259,0.8013,0.3641,0.7282,0.4854,0.4086,2.5448
3,5,0.287,0.8525,0.4468,0.6117,0.5164,0.338,3.1167
4,5,0.222,0.89,0.5862,0.4951,0.5368,0.2937,3.5989
5,5,0.22,0.8925,0.6604,0.3398,0.4487,0.2725,4.0237
6,5,0.187,0.8875,0.7407,0.1942,0.3077,0.2684,4.4077
7,5,0.185,0.8812,0.8333,0.0971,0.1739,0.2754,4.7609
8,5,0.191,0.8775,0.8571,0.0583,0.1091,0.2857,5.0896
9,5,0.185,0.8762,0.8333,0.0485,0.0917,0.2935,5.3983
10,5,0.169,0.8762,0.8333,0.0485,0.0917,0.2999,5.6904
11,5,0.156,0.875,0.8,0.0388,0.0741,0.3036,5.9681
12,5,0.148,0.8762,0.8333,0.0485,0.0917,0.3067,6.2335
13,5,0.143,0.875,0.8,0.0388,0.0741,0.3112,6.488
14,5,0.133,0.8762,0.8333,0.0485,0.0917,0.3118,6.7329
15,5,0.164,0.8762,0.8333,0.0485,0.0917,0.3117,6.9692
16,5,0.149,0.8762,0.8333,0.0485,0.0917,0.3112,7.1978
17,5,0.147,0.8762,0.8333,0.0485,0.0917,0.3142,7.4193
18,5,0.147,0.8775,0.8571,0.0583,0.1091,0.3107,7.6344
19,5,0.138,0.8788,0.875,0.068,0.1261,0.3124,7.8436
20,5,0.145,0.88,0.8889,0.0777,0.1429,0.312,8.0474
21,5,0.137,0.88,0.8889,0.0777,0.1429,0.3121,8.2461
22,5,0.144,0.8812,0.9,0.0874,0.1593,0.3103,8.4402
23,5,0.143,0.8788,0.75,0.0874,0.1565,0.3106,8.6298
24,5,0.153,0.8788,0.75,0.0874,0.1565,0.3124,8.8155
25,5,0.156,0.8788,0.75,0.0874,0.1565,0.313,8.9972
26,5,0.246,0.8788,0.7143,0.0971,0.1709,0.3106,9.1754
27,5,0.33,0.88,0.7692,0.0971,0.1724,0.3126,9.3502
28,5,0.573,0.88,0.7692,0.0971,0.1724,0.3103,9.5218
29,5,0.342,0.8775,0.6667,0.0971,0.1695,0.3087,9.6903
30,5,0.311,0.8812,0.75,0.1165,0.2017,0.3073,9.856
31,5,0.207,0.88,0.6667,0.1359,0.2258,0.3037,10.0189
32,5,0.207,0.88,0.6522,0.1456,0.2381,0.3039,10.1792
33,5,0.176,0.8825,0.6957,0.1553,0.254,0.3042,10.337
34,5,0.148,0.8812,0.6818,0.1456,0.24,0.3051,10.4925
35,5,0.266,0.8812,0.6538,0.165,0.2636,0.3044,10.6457
36,5,0.202,0.8825,0.6667,0.1748,0.2769,0.3054,10.7967
37,5,0.159,0.8838,0.6923,0.1748,0.2791,0.305,10.9456
38,5,0.221,0.8825,0.68,0.165,0.2656,0.3078,11.0925
39,5,0.247,0.8838,0.7083,0.165,0.2677,0.3089,11.2375
40,5,0.222,0.8812,0.6667,0.1553,0.252,0.3101,11.3807
41,5,0.666,0.8812,0.6538,0.165,0.2636,0.3055,11.5221
42,5,0.72,0.8838,0.6786,0.1845,0.2901,0.3045,11.6618
43,5,0.584,0.885,0.6774,0.2039,0.3134,0.3043,11.7998
44,5,0.361,0.8862,0.7,0.2039,0.3158,0.304,11.9362
45,5,0.466,0.8862,0.7,0.2039,0.3158,0.3059,12.0711
46,5,0.363,0.8888,0.7059,0.233,0.3504,0.3057,12.2044
47,5,0.286,0.89,0.7143,0.2427,0.3623,0.306,12.3364
48,5,0.242,0.8888,0.7059,0.233,0.3504,0.3069,12.4669
49,5,0.231,0.89,0.7143,0.2427,0.3623,0.3069,12.5961
50,5,0.274,0.8888,0.7059,0.233,0.3504,0.309,12.724
51,5,0.211,0.89,0.7143,0.2427,0.3623,0.3081,12.8506
52,5,0.354,0.89,0.7143,0.2427,0.3623,0.3102,12.976
53,5,0.33,0.8925,0.7297,0.2621,0.3857,0.3093,13.1002
54,5,0.283,0.8912,0.7222,0.2524,0.3741,0.3084,13.2232
55,5,0.222,0.8925,0.7297,0.2621,0.3857,0.3085,13.3451
56,5,0.358,0.89,0.7143,0.2427,0.3623,0.3115,13.4658
57,5,0.31,0.89,0.7143,0.2427,0.3623,0.3097,13.5855
58,5,0.305,0.8912,0.7105,0.2621,0.383,0.3103,13.7042
59,5,0.295,0.8912,0.7105,0.2621,0.383,0.31,13.8218
60,5,0.342,0.8912,0.7222,0.2524,0.3741,0.3135,13.9385
61,5,0.372,0.89,0.7027,0.2524,0.3714,0.3128,14.0541
62,5,0.248,0.8912,0.7105,0.2621,0.383,0.3129,14.1689
63,5,0.262,0.8912,0.7,0.2718,0.3916,0.3115,14.2827
64,5,0.322,0.8912,0.6905,0.2816,0.4,0.31,14.3956
65,5,0.241,0.8912,0.6905,0.2816,0.4,0.3105,14.5076
66,5,0.309,0.8912,0.7105,0.2621,0.383,0.3125,14.6188
67,5,0.221,0.8888,0.675,0.2621,0.3776,0.3139,14.7291
68,5,0.331,0.8912,0.7,0.2718,0.3916,0.3164,14.8386
69,5,0.36,0.89,0.6829,0.2718,0.3889,0.3176,14.9473
70,5,0.501,0.89,0.6829,0.2718,0.3889,0.3165,15.0553
71,5,0.385,0.8888,0.6667,0.2718,0.3862,0.3177,15.1624
72,5,0.226,0.8888,0.675,0.2621,0.3776,0.32,15.2688
73,5,0.312,0.8875,0.6585,0.2621,0.375,0.3176,15.3745
74,5,0.318,0.8875,0.6585,0.2621,0.375,0.3195,15.4794
75,5,0.298,0.8875,0.6585,0.2621,0.375,0.3176,15.5837
76,5,0.273,0.8912,0.6905,0.2816,0.4,0.3182,15.6872
77,5,0.219,0.89,0.6744,0.2816,0.3973,0.3191,15.7901
78,5,0.37,0.89,0.6744,0.2816,0.3973,0.32,15.8923
79,5,0.561,0.89,0.6744,0.2816,0.3973,0.322,15.9938
80,5,0.333,0.8888,0.6667,0.2718,0.3862,0.3234,16.0947
81,5,0.355,0.8888,0.6667,0.2718,0.3862,0.3258,16.195
82,5,0.7,0.8875,0.6585,0.2621,0.375,0.3257,16.2947
83,5,0.374,0.8875,0.6444,0.2816,0.3919,0.3245,16.3937
84,5,0.399,0.8888,0.6667,0.2718,0.3862,0.3261,16.4922
85,5,0.229,0.8925,0.7073,0.2816,0.4028,0.3247,16.5901
86,5,0.29,0.895,0.7209,0.301,0.4247,0.3241,16.6874
87,5,0.354,0.8925,0.6977,0.2913,0.411,0.3249,16.7841
88,5,0.274,0.8925,0.6977,0.2913,0.411,0.3258,16.8803
89,5,0.299,0.89,0.6667,0.2913,0.4054,0.3269,16.976
90,5,0.257,0.8912,0.6739,0.301,0.4161,0.3295,17.0711
91,5,0.216,0.89,0.6667,0.2913,0.4054,0.3291,17.1656
92,5,0.277,0.8888,0.6458,0.301,0.4106,0.3304,17.2597
93,5,0.286,0.8888,0.6522,0.2913,0.4027,0.3314,17.3532
94,5,0.345,0.8888,0.6458,0.301,0.4106,0.3272,17.4463
95,5,0.226,0.8875,0.6383,0.2913,0.4,0.3286,17.5388
96,5,0.304,0.8888,0.6458,0.301,0.4106,0.3303,17.6309
97,5,0.368,0.8888,0.64,0.3107,0.4183,0.3293,17.7225
98,5,0.282,0.89,0.6531,0.3107,0.4211,0.3303,17.8136
99,5,0.301,0.8912,0.6538,0.3301,0.4387,0.3308,17.9043
100,5,0.363,0.8925,0.6604,0.3398,0.4487,0.3308,17.9945
101,5,0.321,0.8888,0.6346,0.3204,0.4258,0.3299,18.0842
102,5,0.252,0.89,0.6415,0.3301,0.4359,0.3293,18.1735
103,5,0.312,0.8912,0.6481,0.3398,0.4459,0.329,18.2624
104,5,0.229,0.8912,0.6538,0.3301,0.4387,0.3296,18.3508
105,5,0.26,0.8912,0.6538,0.3301,0.4387,0.3315,18.4388
106,5,0.243,0.89,0.6415,0.3301,0.4359,0.333,18.5264
107,5,0.263,0.8912,0.6538,0.3301,0.4387,0.3327,18.6136
108,5,0.431,0.8912,0.6538,0.3301,0.4387,0.3329,18.7004
109,5,0.372,0.8912,0.66,0.3204,0.4314,0.3337,18.7868
110,5,0.227,0.89,0.6596,0.301,0.4133,0.339,18.8728
111,5,0.249,0.89,0.6596,0.301,0.4133,0.3386,18.9584
112,5,0.285,0.8925,0.6735,0.3204,0.4342,0.3373,19.0436
113,5,0.258,0.89,0.6531,0.3107,0.4211,0.3381,19.1284
114,5,0.188,0.8938,0.6731,0.3398,0.4516,0.3398,19.2128
115,5,0.172,0.8925,0.6604,0.3398,0.4487,0.3407,19.2969
116,5,0.225,0.8925,0.6545,0.3495,0.4557,0.3402,19.3806
117,5,0.203,0.8938,0.6607,0.3592,0.4654,0.3391,19.464
118,5,0.325,0.8938,0.6607,0.3592,0.4654,0.3398,19.547
119,5,0.23,0.8925,0.6545,0.3495,0.4557,0.34,19.6297
120,5,0.171,0.8938,0.6552,0.3689,0.472,0.34,19.712
121,5,0.221,0.895,0.6727,0.3592,0.4684,0.3408,19.7939
122,5,0.539,0.8912,0.6481,0.3398,0.4459,0.3386,19.8755
123,5,0.338,0.8938,0.6667,0.3495,0.4586,0.3374,19.9568
124,5,0.221,0.8925,0.6604,0.3398,0.4487,0.3363,20.0378
125,5,0.246,0.8938,0.6667,0.3495,0.4586,0.3391,20.1184
126,5,0.188,0.895,0.6727,0.3592,0.4684,0.3412,20.1987
127,5,0.186,0.8925,0.6545,0.3495,0.4557,0.3427,20.2787
128,5,0.166,0.8912,0.6538,0.3301,0.4387,0.3441,20.3584
129,5,0.189,0.8875,0.6226,0.3204,0.4231,0.3456,20.4378
130,5,0.2,0.8912,0.6481,0.3398,0.4459,0.3474,20.5169
131,5,0.153,0.8925,0.6491,0.3592,0.4625,0.3485,20.5956
132,5,0.195,0.8938,0.6552,0.3689,0.472,0.3496,20.6741
133,5,0.184,0.8925,0.6545,0.3495,0.4557,0.3485,20.7522
134,5,0.165,0.8925,0.6604,0.3398,0.4487,0.3472,20.8301
135,5,0.183,0.8925,0.6545,0.3495,0.4557,0.3462,20.9077
136,5,0.164,0.8925,0.6491,0.3592,0.4625,0.3476,20.985
137,5,0.173,0.8938,0.6552,0.3689,0.472,0.3472,21.062
138,5,0.158,0.8938,0.6552,0.3689,0.472,0.3468,21.1387
139,5,0.16,0.8938,0.6607,0.3592,0.4654,0.3472,21.2152
140,5,0.159,0.8912,0.6481,0.3398,0.4459,0.3502,21.2913
141,5,0.125,0.8925,0.6545,0.3495,0.4557,0.351,21.3673
142,5,0.132,0.8925,0.6545,0.3495,0.4557,0.351,21.4429
143,5,0.121,0.8925,0.6491,0.3592,0.4625,0.3496,21.5183
144,5,0.228,0.8925,0.6491,0.3592,0.4625,0.3495,21.5934
145,5,0.192,0.8888,0.6296,0.3301,0.4331,0.3505,21.6682
146,5,0.138,0.8925,0.6491,0.3592,0.4625,0.3519,21.7428
147,5,0.107,0.8938,0.6552,0.3689,0.472,0.3512,21.8171
148,5,0.145,0.8962,0.6724,0.3786,0.4845,0.3533,21.8912
149,5,0.125,0.8938,0.6552,0.3689,0.472,0.3523,21.9651
150,5,0.107,0.8912,0.6379,0.3592,0.4596,0.3534,22.0386
151,5,0.128,0.8912,0.6429,0.3495,0.4528,0.3547,22.112
152,5,0.126,0.895,0.6667,0.3689,0.475,0.3531,22.1851
153,5,0.115,0.895,0.6727,0.3592,0.4684,0.3517,22.2579
154,5,0.124,0.8975,0.6909,0.3689,0.481,0.3528,22.3306
155,5,0.108,0.895,0.6792,0.3495,0.4615,0.3546,22.4029
156,5,0.125,0.8925,0.6604,0.3398,0.4487,0.3552,22.4751
157,5,0.128,0.8925,0.6604,0.3398,0.4487,0.3565,22.547
158,5,0.112,0.89,0.6415,0.3301,0.4359,0.3581,22.6187
159,5,0.136,0.8912,0.6481,0.3398,0.4459,0.3565,22.6902
160,5,0.107,0.8938,0.6667,0.3495,0.4586,0.3577,22.7614
161,5,0.107,0.8938,0.6607,0.3592,0.4654,0.3569,22.8324
162,5,0.11,0.8938,0.6667,0.3495,0.4586,0.3564,22.9032
163,5,0.176,0.8912,0.6538,0.3301,0.4387,0.3591,22.9738
164,5,0.137,0.8962,0.6786,0.3689,0.478,0.3597,23.0442
165,5,0.141,0.8962,0.6786,0.3689,0.478,0.3583,23.1143
166,5,0.129,0.895,0.6727,0.3592,0.4684,0.3593,23.1843
167,5,0.116,0.895,0.661,0.3786,0.4815,0.3573,23.254
168,5,0.131,0.895,0.661,0.3786,0.4815,0.3564,23.3235
169,5,0.126,0.8975,0.6842,0.3786,0.4875,0.3581,23.3928
170,5,0.123,0.8975,0.678,0.3883,0.4938,0.3578,23.4619
171,5,0.111,0.8988,0.6897,0.3883,0.4969,0.359,23.5308
172,5,0.114,0.895,0.6727,0.3592,0.4684,0.3589,23.5995
173,5,0.122,0.895,0.6727,0.3592,0.4684,0.3585,23.668
174,5,0.135,0.8925,0.6545,0.3495,0.4557,0.3593,23.7363
175,5,0.111,0.8938,0.6667,0.3495,0.4586,0.3595,23.8044
176,5,0.143,0.8962,0.6786,0.3689,0.478,0.3597,23.8724
177,5,0.129,0.8925,0.6604,0.3398,0.4487,0.3594,23.9401
178,5,0.147,0.8925,0.6545,0.3495,0.4557,0.3594,24.0076
179,5,0.143,0.8962,0.6786,0.3689,0.478,0.3586,24.075
180,5,0.139,0.895,0.6727,0.3592,0.4684,0.359,24.1421
181,5,0.142,0.8925,0.6491,0.3592,0.4625,0.359,24.2091
182,5,0.136,0.8912,0.6481,0.3398,0.4459,0.3589,24.2759
183,5,0.122,0.8938,0.6607,0.3592,0.4654,0.3612,24.3425
184,5,0.147,0.8938,0.6667,0.3495,0.4586,0.3608,24.4089
185,5,0.135,0.8925,0.6604,0.3398,0.4487,0.362,24.4751
186,5,0.135,0.8938,0.6667,0.3495,0.4586,0.3638,24.5412
187,5,0.132,0.8938,0.6552,0.3689,0.472,0.3615,24.6071
188,5,0.126,0.8925,0.6491,0.3592,0.4625,0.3638,24.6728
189,5,0.124,0.89,0.6415,0.3301,0.4359,0.3637,24.7383
190,5,0.108,0.895,0.6727,0.3592,0.4684,0.3632,24.8037
191,5,0.252,0.8925,0.6441,0.3689,0.4691,0.3644,24.8689
192,5,0.14,0.8925,0.6491,0.3592,0.4625,0.365,24.9339
193,5,0.111,0.8938,0.6552,0.3689,0.472,0.3632,24.9987
194,5,0.12,0.8912,0.6379,0.3592,0.4596,0.3653,25.0634
195,5,0.118,0.89,0.6316,0.3495,0.45,0.3661,25.1279
196,5,0.108,0.8912,0.6379,0.3592,0.4596,0.367,25.1923
197,5,0.124,0.8912,0.6379,0.3592,0.4596,0.365,25.2564
198,5,0.147,0.89,0.6316,0.3495,0.45,0.3679,25.3205
199,5,0.121,0.8888,0.625,0.3398,0.4403,0.3657,25.3843
200,5,0.129,0.8938,0.6552,0.3689,0.472,0.3651,25.448
201,5,0.152,0.8925,0.6441,0.3689,0.4691,0.3634,25.5116
202,5,0.128,0.8912,0.6429,0.3495,0.4528,0.3654,25.575
203,5,0.128,0.8888,0.6296,0.3301,0.4331,0.366,25.6382
204,5,0.111,0.8888,0.625,0.3398,0.4403,0.3669,25.7012
205,5,0.135,0.8875,0.6182,0.3301,0.4304,0.3671,25.7642
206,5,0.122,0.8888,0.6207,0.3495,0.4472,0.3624,25.8269
207,5,0.109,0.8888,0.6207,0.3495,0.4472,0.3643,25.8895
208,5,0.142,0.8925,0.6441,0.3689,0.4691,0.365,25.952
209,5,0.155,0.8938,0.65,0.3786,0.4785,0.366,26.0143
210,5,0.129,0.895,0.6508,0.3981,0.494,0.365,26.0765
211,5,0.135,0.8925,0.6393,0.3786,0.4756,0.3669,26.1385
212,5,0.133,0.8962,0.6613,0.3981,0.497,0.3675,26.2003
213,5,0.132,0.8962,0.6667,0.3883,0.4908,0.3673,26.2621
214,5,0.126,0.895,0.661,0.3786,0.4815,0.3675,26.3236
215,5,0.114,0.895,0.661,0.3786,0.4815,0.3655,26.3851
216,5,0.109,0.895,0.661,0.3786,0.4815,0.3658,26.4464
217,5,0.127,0.8938,0.6552,0.3689,0.472,0.3666,26.5075
218,5,0.151,0.8962,0.6667,0.3883,0.4908,0.3674,26.5685
219,5,0.151,0.8938,0.65,0.3786,0.4785,0.3678,26.6294
220,5,0.163,0.8962,0.6667,0.3883,0.4908,0.3668,26.6901
221,5,0.145,0.8938,0.6552,0.3689,0.472,0.3712,26.7507
222,5,0.166,0.8925,0.6491,0.3592,0.4625,0.3713,26.8112
223,5,0.139,0.8925,0.6441,0.3689,0.4691,0.3721,26.8715
224,5,0.11,0.8912,0.6379,0.3592,0.4596,0.3732,26.9317
225,5,0.137,0.8925,0.6491,0.3592,0.4625,0.373,26.9917
226,5,0.128,0.8925,0.6441,0.3689,0.4691,0.3717,27.0516
227,5,0.126,0.8925,0.6441,0.3689,0.4691,0.3715,27.1114
228,5,0.125,0.895,0.6727,0.3592,0.4684,0.3712,27.1711
229,5,0.102,0.8962,0.6786,0.3689,0.478,0.3713,27.2306
230,5,0.129,0.8912,0.6333,0.3689,0.4663,0.37,27.29
