round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.198,0.7488,0.313,0.7961,0.4493,0.4991,1.7994
2,5,0.201,0.7975,0.3641,0.767,0.4937,0.4226,2.5448
3,5,0.166,0.8488,0.4416,0.6602,0.5292,0.3484,3.1167
4,5,0.276,0.8925,0.5876,0.5534,0.57,0.2987,3.5989
5,4,0.24,0.8912,0.66,0.3204,0.4314,0.2744,4.0237
6,4,0.201,0.8825,0.6667,0.1748,0.2769,0.2687,4.4077
7,4,0.159,0.88,0.7692,0.0971,0.1724,0.2737,4.7609
8,4,0.157,0.8788,0.875,0.068,0.1261,0.2823,5.0896
9,4,0.151,0.8762,0.8333,0.0485,0.0917,0.2932,5.3983
10,4,0.155,0.8762,0.8333,0.0485,0.0917,0.2998,5.6904
11,4,0.157,0.8762,0.8333,0.0485,0.0917,0.3046,5.9681
12,4,0.142,0.8762,0.8333,0.0485,0.0917,0.3081,6.2335
13,4,0.162,0.8762,0.8333,0.0485,0.0917,0.3104,6.488
14,4,0.131,0.875,0.8,0.0388,0.0741,0.3126,6.7329
15,4,0.173,0.875,0.8,0.0388,0.0741,0.312,6.9692
16,4,0.171,0.8762,0.8333,0.0485,0.0917,0.31,7.1978
17,4,0.187,0.8762,0.8333,0.0485,0.0917,0.3138,7.4193
18,4,0.146,0.8775,0.8571,0.0583,0.1091,0.315,7.6344
19,4,0.15,0.8788,0.875,0.068,0.1261,0.3161,7.8436
20,4,0.15,0.8788,0.875,0.068,0.1261,0.3167,8.0474
21,4,0.137,0.88,0.8889,0.0777,0.1429,0.3157,8.2461
22,4,0.156,0.88,0.8889,0.0777,0.1429,0.3172,8.4402
23,4,0.159,0.88,0.8889,0.0777,0.1429,0.3154,8.6298
24,4,0.129,0.88,0.8889,0.0777,0.1429,0.3143,8.8155
25,4,0.134,0.8812,0.9,0.0874,0.1593,0.313,8.9972
26,4,0.178,0.8812,0.9,0.0874,0.1593,0.3117,9.1754
27,4,0.175,0.88,0.8182,0.0874,0.1579,0.3101,9.3502
28,4,0.14,0.8775,0.6923,0.0874,0.1552,0.3095,9.5218
29,4,0.143,0.8775,0.6923,0.0874,0.1552,0.3138,9.6903
30,4,0.139,0.8775,0.6923,0.0874,0.1552,0.3132,9.856
31,4,0.117,0.88,0.7333,0.1068,0.1864,0.3116,10.0189
32,4,0.158,0.88,0.7333,0.1068,0.1864,0.3149,10.1792
33,4,0.131,0.88,0.7333,0.1068,0.1864,0.312,10.337
34,4,0.131,0.8812,0.7222,0.1262,0.2149,0.3093,10.4925
35,4,0.121,0.8825,0.7143,0.1456,0.2419,0.3076,10.6457
36,4,0.146,0.8838,0.7273,0.1553,0.256,0.3074,10.7967
37,4,0.156,0.8812,0.6667,0.1553,0.252,0.3069,10.9456
38,4,0.165,0.88,0.64,0.1553,0.25,0.3052,11.0925
39,4,0.128,0.8812,0.6538,0.165,0.2636,0.3036,11.2375
40,4,0.291,0.8838,0.6923,0.1748,0.2791,0.305,11.3807
41,4,0.145,0.8812,0.6429,0.1748,0.2748,0.305,11.5221
42,4,0.161,0.8825,0.6552,0.1845,0.2879,0.305,11.6618
43,4,0.143,0.8838,0.6667,0.1942,0.3008,0.3053,11.7998
44,4,0.194,0.8862,0.6765,0.2233,0.3358,0.3048,11.9362
45,4,0.292,0.8862,0.6875,0.2136,0.3259,0.3051,12.0711
46,4,0.136,0.8875,0.6857,0.233,0.3478,0.3049,12.2044
47,4,0.132,0.8888,0.6944,0.2427,0.3597,0.306,12.3364
48,4,0.145,0.8912,0.7105,0.2621,0.383,0.3061,12.4669
49,4,0.119,0.8912,0.7105,0.2621,0.383,0.3075,12.5961
50,4,0.128,0.8912,0.7222,0.2524,0.3741,0.3092,12.724
51,4,0.142,0.89,0.7027,0.2524,0.3714,0.3093,12.8506
52,4,0.129,0.8875,0.6757,0.2427,0.3571,0.3095,12.976
53,4,0.13,0.89,0.7027,0.2524,0.3714,0.311,13.1002
54,4,0.156,0.8925,0.7179,0.2718,0.3944,0.3086,13.2232
55,4,0.181,0.8912,0.7105,0.2621,0.383,0.3101,13.3451
56,4,0.127,0.89,0.6923,0.2621,0.3803,0.3098,13.4658
57,4,0.134,0.8912,0.6905,0.2816,0.4,0.3084,13.5855
58,4,0.148,0.8912,0.7,0.2718,0.3916,0.3096,13.7042
59,4,0.14,0.89,0.6829,0.2718,0.3889,0.3079,13.8218
60,4,0.124,0.8925,0.7073,0.2816,0.4028,0.3082,13.9385
61,4,0.142,0.8912,0.6905,0.2816,0.4,0.3087,14.0541
62,4,0.139,0.8925,0.7073,0.2816,0.4028,0.3125,14.1689
63,4,0.15,0.8925,0.7073,0.2816,0.4028,0.3116,14.2827
64,4,0.128,0.8912,0.7,0.2718,0.3916,0.3144,14.3956
65,4,0.144,0.8912,0.7,0.2718,0.3916,0.3161,14.5076
66,4,0.15,0.8938,0.725,0.2816,0.4056,0.3158,14.6188
67,4,0.135,0.8912,0.7105,0.2621,0.383,0.3167,14.7291
68,4,0.145,0.8938,0.725,0.2816,0.4056,0.317,14.8386
69,4,0.155,0.8925,0.7179,0.2718,0.3944,0.3155,14.9473
70,4,0.15,0.8912,0.7,0.2718,0.3916,0.3159,15.0553
71,4,0.149,0.89,0.6744,0.2816,0.3973,0.3171,15.1624
72,4,0.148,0.89,0.6829,0.2718,0.3889,0.3174,15.2688
73,4,0.14,0.89,0.6829,0.2718,0.3889,0.3192,15.3745
74,4,0.169,0.8875,0.6512,0.2718,0.3836,0.3196,15.4794
75,4,0.13,0.8875,0.6512,0.2718,0.3836,0.3194,15.5837
76,4,0.144,0.8875,0.6512,0.2718,0.3836,0.3195,15.6872
77,4,0.146,0.8888,0.6667,0.2718,0.3862,0.3204,15.7901
78,4,0.154,0.8888,0.6667,0.2718,0.3862,0.3206,15.8923
79,4,0.171,0.89,0.6744,0.2816,0.3973,0.3197,15.9938
80,4,0.14,0.8925,0.6977,0.2913,0.411,0.32,16.0947
81,4,0.138,0.8888,0.6667,0.2718,0.3862,0.3231,16.195
82,4,0.145,0.8925,0.7073,0.2816,0.4028,0.3232,16.2947
