round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.099,0.8125,0.3259,0.4272,0.3697,0.6551,7.9975
2,5,0.081,0.87,0.4925,0.3204,0.3882,0.6212,11.3102
3,5,0.04,0.88,0.5854,0.233,0.3333,0.5898,13.8522
4,5,0.061,0.8862,0.7,0.2039,0.3158,0.5607,15.9951
5,5,0.062,0.8838,0.7778,0.1359,0.2314,0.5341,17.8831
6,5,0.075,0.8825,0.7647,0.1262,0.2167,0.5103,19.5899
7,5,0.07,0.885,0.8235,0.1359,0.2333,0.488,21.1595
8,5,0.075,0.8838,0.8571,0.1165,0.2051,0.4685,22.6205
9,5,0.05,0.88,0.8182,0.0874,0.1579,0.4497,23.9926
10,5,0.077,0.88,0.8889,0.0777,0.1429,0.4337,25.2905
11,5,0.083,0.8788,0.875,0.068,0.1261,0.4186,26.5248
12,5,0.087,0.875,0.8,0.0388,0.0741,0.4061,27.7043
13,5,0.073,0.875,0.8,0.0388,0.0741,0.3947,28.8356
14,5,0.104,0.875,0.8,0.0388,0.0741,0.3846,29.9241
15,5,0.076,0.8762,1.0,0.0388,0.0748,0.3751,30.9744
16,5,0.036,0.8762,1.0,0.0388,0.0748,0.3674,31.9902
17,5,0.069,0.8762,1.0,0.0388,0.0748,0.3603,32.9747
18,5,0.068,0.8738,1.0,0.0194,0.0381,0.3539,33.9307
19,5,0.034,0.8738,1.0,0.0194,0.0381,0.3486,34.8605
20,5,0.069,0.8738,1.0,0.0194,0.0381,0.3436,35.7661
21,5,0.07,0.8738,1.0,0.0194,0.0381,0.3387,36.6493
22,5,0.043,0.8738,1.0,0.0194,0.0381,0.3349,37.5118
23,5,0.057,0.8738,1.0,0.0194,0.0381,0.3318,38.3549
24,5,0.079,0.8725,1.0,0.0097,0.0192,0.3292,39.1798
25,5,0.055,0.8712,0.0,0.0,0.0,0.3263,39.9877
26,5,0.047,0.8712,0.0,0.0,0.0,0.324,40.7796
27,5,0.038,0.8712,0.0,0.0,0.0,0.3223,41.5565
28,5,0.058,0.8712,0.0,0.0,0.0,0.3209,42.319
29,5,0.072,0.8712,0.0,0.0,0.0,0.3197,43.0681
30,5,0.065,0.8712,0.0,0.0,0.0,0.3183,43.8043
31,5,0.04,0.8712,0.0,0.0,0.0,0.3172,44.5284
32,5,0.063,0.8712,0.0,0.0,0.0,0.3166,45.2409
33,5,0.07,0.8712,0.0,0.0,0.0,0.3164,45.9424
34,5,0.045,0.8712,0.0,0.0,0.0,0.3161,46.6333
35,5,0.069,0.8712,0.0,0.0,0.0,0.316,47.3141
36,5,0.063,0.8712,0.0,0.0,0.0,0.3157,47.9853
37,5,0.056,0.8712,0.0,0.0,0.0,0.3155,48.6472
38,5,0.046,0.8712,0.0,0.0,0.0,0.3155,49.3002
39,5,0.067,0.8712,0.0,0.0,0.0,0.3153,49.9446
40,5,0.066,0.8712,0.0,0.0,0.0,0.3155,50.5809
41,5,0.065,0.8712,0.0,0.0,0.0,0.3153,51.2093
42,5,0.038,0.8712,0.0,0.0,0.0,0.3155,51.83
43,5,0.054,0.8712,0.0,0.0,0.0,0.3158,52.4434
44,5,0.064,0.8712,0.0,0.0,0.0,0.3157,53.0497
45,5,0.043,0.8712,0.0,0.0,0.0,0.3166,53.6492
46,5,0.076,0.8712,0.0,0.0,0.0,0.3169,54.242
47,5,0.049,0.8712,0.0,0.0,0.0,0.317,54.8284
48,5,0.076,0.8712,0.0,0.0,0.0,0.3179,55.4086
49,5,0.044,0.8712,0.0,0.0,0.0,0.3189,55.9828
50,5,0.083,0.8712,0.0,0.0,0.0,0.3198,56.5512
51,5,0.066,0.8712,0.0,0.0,0.0,0.3206,57.1139
52,5,0.04,0.8712,0.0,0.0,0.0,0.3216,57.6711
53,5,0.064,0.8712,0.0,0.0,0.0,0.3226,58.223
54,5,0.069,0.8712,0.0,0.0,0.0,0.3236,58.7697
55,5,0.037,0.8712,0.0,0.0,0.0,0.3243,59.3114
56,5,0.061,0.8712,0.0,0.0,0.0,0.3251,59.8481
57,5,0.064,0.8712,0.0,0.0,0.0,0.3257,60.3801
58,5,0.049,0.8712,0.0,0.0,0.0,0.3267,60.9075
59,5,0.053,0.8712,0.0,0.0,0.0,0.3274,61.4303
60,5,0.048,0.8712,0.0,0.0,0.0,0.3283,61.9487
61,5,0.05,0.8712,0.0,0.0,0.0,0.3293,62.4628
62,5,0.065,0.8712,0.0,0.0,0.0,0.3298,62.9727
63,5,0.059,0.8712,0.0,0.0,0.0,0.3301,63.4785
64,5,0.039,0.8712,0.0,0.0,0.0,0.3306,63.9803
65,5,0.061,0.8712,0.0,0.0,0.0,0.3309,64.4783
66,5,0.079,0.8712,0.0,0.0,0.0,0.3313,64.9723
67,5,0.048,0.8712,0.0,0.0,0.0,0.3325,65.4627
68,5,0.038,0.8712,0.0,0.0,0.0,0.3329,65.9494
69,5,0.056,0.8712,0.0,0.0,0.0,0.3333,66.4326
70,5,0.066,0.8712,0.0,0.0,0.0,0.3334,66.9122
71,5,0.044,0.8712,0.0,0.0,0.0,0.3347,67.3885
72,5,0.063,0.8712,0.0,0.0,0.0,0.3353,67.8614
73,5,0.066,0.8712,0.0,0.0,0.0,0.3357,68.331
74,5,0.072,0.8712,0.0,0.0,0.0,0.3362,68.7975
75,5,0.038,0.8712,0.0,0.0,0.0,0.3369,69.2608
76,5,0.053,0.8712,0.0,0.0,0.0,0.3378,69.721
77,5,0.065,0.8712,0.0,0.0,0.0,0.3385,70.1782
78,5,0.064,0.8712,0.0,0.0,0.0,0.3394,70.6324
79,5,0.037,0.8712,0.0,0.0,0.0,0.3398,71.0837
80,5,0.072,0.8712,0.0,0.0,0.0,0.3403,71.5322
81,5,0.066,0.8712,0.0,0.0,0.0,0.3408,71.9779
82,5,0.063,0.8712,0.0,0.0,0.0,0.3413,72.4208
83,5,0.057,0.8712,0.0,0.0,0.0,0.3416,72.8611
84,5,0.034,0.8712,0.0,0.0,0.0,0.3414,73.2987
85,5,0.063,0.8712,0.0,0.0,0.0,0.3423,73.7337
86,5,0.064,0.8712,0.0,0.0,0.0,0.3427,74.1662
87,5,0.051,0.8712,0.0,0.0,0.0,0.3431,74.5961
88,5,0.117,0.8712,0.0,0.0,0.0,0.344,75.0236
89,5,0.1,0.8712,0.0,0.0,0.0,0.3448,75.4487
90,5,0.122,0.8712,0.0,0.0,0.0,0.345,75.8714
91,5,0.057,0.8712,0.0,0.0,0.0,0.3452,76.2917
92,5,0.041,0.8712,0.0,0.0,0.0,0.3457,76.7097
93,5,0.052,0.8712,0.0,0.0,0.0,0.3461,77.1255
94,5,0.062,0.8712,0.0,0.0,0.0,0.3467,77.5391
95,5,0.069,0.8712,0.0,0.0,0.0,0.3473,77.9504
96,5,0.062,0.8712,0.0,0.0,0.0,0.3481,78.3596
97,5,0.032,0.8712,0.0,0.0,0.0,0.3484,78.7667
98,5,0.062,0.8712,0.0,0.0,0.0,0.3488,79.1716
99,5,0.063,0.8712,0.0,0.0,0.0,0.3487,79.5745
100,5,0.035,0.8712,0.0,0.0,0.0,0.3495,79.9754
101,5,0.132,0.8712,0.0,0.0,0.0,0.3499,80.3743
102,5,0.138,0.8712,0.0,0.0,0.0,0.3508,80.7712
103,5,0.069,0.8712,0.0,0.0,0.0,0.3515,81.1662
104,5,0.034,0.8712,0.0,0.0,0.0,0.3528,81.5593
105,5,0.065,0.8712,0.0,0.0,0.0,0.3532,81.9504
106,5,0.063,0.8712,0.0,0.0,0.0,0.354,82.3397
107,5,0.039,0.8712,0.0,0.0,0.0,0.3544,82.7272
108,5,0.063,0.8712,0.0,0.0,0.0,0.3553,83.1129
109,5,0.041,0.8712,0.0,0.0,0.0,0.3557,83.4968
110,5,0.06,0.8712,0.0,0.0,0.0,0.3556,83.8789
111,5,0.062,0.8712,0.0,0.0,0.0,0.3562,84.2593
112,5,0.042,0.8712,0.0,0.0,0.0,0.3559,84.638
113,5,0.069,0.8712,0.0,0.0,0.0,0.3562,85.0151
114,5,0.052,0.8712,0.0,0.0,0.0,0.3552,85.3904
115,5,0.057,0.8712,0.0,0.0,0.0,0.3546,85.7641
116,5,0.043,0.8712,0.0,0.0,0.0,0.3552,86.1362
117,5,0.058,0.8712,0.0,0.0,0.0,0.3554,86.5067
118,5,0.067,0.8712,0.0,0.0,0.0,0.3557,86.8756
119,5,0.041,0.8712,0.0,0.0,0.0,0.3566,87.2429
120,5,0.056,0.8712,0.0,0.0,0.0,0.3574,87.6087
121,5,0.065,0.8712,0.0,0.0,0.0,0.3577,87.973
122,5,0.066,0.8712,0.0,0.0,0.0,0.3587,88.3358
123,5,0.068,0.8712,0.0,0.0,0.0,0.3586,88.697
