round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.148,0.805,0.3066,0.4078,0.35,0.6552,7.9975
2,5,0.067,0.8662,0.4756,0.3786,0.4216,0.6221,11.3102
3,5,0.081,0.8738,0.5172,0.2913,0.3727,0.5907,13.8522
4,5,0.086,0.8825,0.6098,0.2427,0.3472,0.5625,15.9951
5,4,0.086,0.8738,1.0,0.0194,0.0381,0.4333,17.8831
6,4,0.079,0.8712,0.0,0.0,0.0,0.3683,19.5899
7,4,0.075,0.8712,0.0,0.0,0.0,0.3408,21.1595
8,4,0.082,0.8712,0.0,0.0,0.0,0.3305,22.6205
9,4,0.083,0.8712,0.0,0.0,0.0,0.329,23.9926
10,4,0.119,0.8712,0.0,0.0,0.0,0.3337,25.2905
11,4,0.082,0.8712,0.0,0.0,0.0,0.3388,26.5248
12,4,0.082,0.8712,0.0,0.0,0.0,0.3437,27.7043
13,4,0.102,0.8712,0.0,0.0,0.0,0.3473,28.8356
14,4,0.103,0.8712,0.0,0.0,0.0,0.3476,29.9241
15,4,0.082,0.8712,0.0,0.0,0.0,0.3525,30.9744
16,4,0.076,0.8712,0.0,0.0,0.0,0.3552,31.9902
17,4,0.103,0.8712,0.0,0.0,0.0,0.3587,32.9747
18,4,0.098,0.8712,0.0,0.0,0.0,0.3595,33.9307
19,4,0.109,0.8712,0.0,0.0,0.0,0.3594,34.8605
20,4,0.131,0.8712,0.0,0.0,0.0,0.3594,35.7661
21,4,0.093,0.8712,0.0,0.0,0.0,0.3603,36.6493
22,4,0.096,0.8712,0.0,0.0,0.0,0.3582,37.5118
23,4,0.066,0.8712,0.0,0.0,0.0,0.3625,38.3549
24,4,0.052,0.8712,0.0,0.0,0.0,0.3598,39.1798
25,4,0.064,0.8712,0.0,0.0,0.0,0.3567,39.9877
26,4,0.065,0.8712,0.0,0.0,0.0,0.359,40.7796
27,4,0.074,0.8712,0.0,0.0,0.0,0.3589,41.5565
28,4,0.076,0.8712,0.0,0.0,0.0,0.3589,42.319
29,4,0.118,0.8712,0.0,0.0,0.0,0.3594,43.0681
30,4,0.077,0.8712,0.0,0.0,0.0,0.3588,43.8043
31,4,0.058,0.8712,0.0,0.0,0.0,0.3575,44.5284
32,4,0.054,0.8712,0.0,0.0,0.0,0.3568,45.2409
33,4,0.061,0.8712,0.0,0.0,0.0,0.3551,45.9424
