round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.098,0.8725,1.0,0.0097,0.0192,0.5562,4.7985
2,5,0.074,0.8712,0.0,0.0,0.0,0.4663,6.7861
3,5,0.067,0.8712,0.0,0.0,0.0,0.4089,8.3113
4,5,0.071,0.8712,0.0,0.0,0.0,0.373,9.5971
5,5,0.076,0.8712,0.0,0.0,0.0,0.3521,10.7298
6,5,0.078,0.8712,0.0,0.0,0.0,0.3405,11.7539
7,5,0.07,0.8712,0.0,0.0,0.0,0.335,12.6957
8,5,0.085,0.8712,0.0,0.0,0.0,0.3334,13.5723
9,5,0.109,0.8712,0.0,0.0,0.0,0.3344,14.3956
10,5,0.065,0.8712,0.0,0.0,0.0,0.3365,15.1743
11,5,0.066,0.8712,0.0,0.0,0.0,0.3388,15.9149
12,5,0.054,0.8712,0.0,0.0,0.0,0.3422,16.6226
13,5,0.078,0.8712,0.0,0.0,0.0,0.3456,17.3013
14,5,0.086,0.8712,0.0,0.0,0.0,0.3482,17.9544
15,5,0.077,0.8712,0.0,0.0,0.0,0.3502,18.5846
16,5,0.068,0.8712,0.0,0.0,0.0,0.3516,19.1941
17,5,0.109,0.8712,0.0,0.0,0.0,0.3544,19.7848
18,5,0.076,0.8712,0.0,0.0,0.0,0.3559,20.3584
19,5,0.081,0.8712,0.0,0.0,0.0,0.3575,20.9163
20,5,0.064,0.8712,0.0,0.0,0.0,0.3593,21.4597
21,5,0.059,0.8712,0.0,0.0,0.0,0.3606,21.9896
22,5,0.076,0.8712,0.0,0.0,0.0,0.3612,22.5071
23,5,0.064,0.8712,0.0,0.0,0.0,0.3621,23.0129
24,5,0.051,0.8712,0.0,0.0,0.0,0.3634,23.5079
25,5,0.093,0.8712,0.0,0.0,0.0,0.3634,23.9926
26,5,0.058,0.8712,0.0,0.0,0.0,0.3638,24.4678
27,5,0.035,0.8712,0.0,0.0,0.0,0.3636,24.9339
28,5,0.065,0.8712,0.0,0.0,0.0,0.3641,25.3914
29,5,0.065,0.8712,0.0,0.0,0.0,0.3643,25.8409
30,5,0.064,0.8712,0.0,0.0,0.0,0.3643,26.2826
31,5,0.054,0.8712,0.0,0.0,0.0,0.3638,26.7171
32,5,0.047,0.8712,0.0,0.0,0.0,0.3639,27.1446
33,5,0.064,0.8712,0.0,0.0,0.0,0.3633,27.5654
34,5,0.116,0.8712,0.0,0.0,0.0,0.3633,27.98
35,5,0.08,0.8712,0.0,0.0,0.0,0.3626,28.3885
36,5,0.062,0.8712,0.0,0.0,0.0,0.3626,28.7912
37,5,0.065,0.8712,0.0,0.0,0.0,0.3627,29.1883
38,5,0.063,0.8712,0.0,0.0,0.0,0.3624,29.5801
39,5,0.058,0.8712,0.0,0.0,0.0,0.3616,29.9668
40,5,0.066,0.8712,0.0,0.0,0.0,0.3616,30.3485
41,5,0.059,0.8712,0.0,0.0,0.0,0.3615,30.7256
42,5,0.061,0.8712,0.0,0.0,0.0,0.3611,31.098
43,5,0.049,0.8712,0.0,0.0,0.0,0.3603,31.466
44,5,0.065,0.8712,0.0,0.0,0.0,0.3598,31.8298
45,5,0.058,0.8712,0.0,0.0,0.0,0.3597,32.1895
46,5,0.043,0.8712,0.0,0.0,0.0,0.3596,32.5452
47,5,0.059,0.8712,0.0,0.0,0.0,0.3594,32.897
48,5,0.043,0.8712,0.0,0.0,0.0,0.3589,33.2452
49,5,0.065,0.8712,0.0,0.0,0.0,0.3591,33.5897
50,5,0.052,0.8712,0.0,0.0,0.0,0.3591,33.9307
51,5,0.042,0.8712,0.0,0.0,0.0,0.3588,34.2683
52,5,0.058,0.8712,0.0,0.0,0.0,0.358,34.6027
53,5,0.069,0.8712,0.0,0.0,0.0,0.3572,34.9338
54,5,0.064,0.8712,0.0,0.0,0.0,0.3569,35.2618
55,5,0.062,0.8712,0.0,0.0,0.0,0.357,35.5868
56,5,0.056,0.8725,1.0,0.0097,0.0192,0.3563,35.9089
57,5,0.076,0.8725,1.0,0.0097,0.0192,0.356,36.2281
58,5,0.067,0.8725,1.0,0.0097,0.0192,0.3554,36.5445
59,5,0.037,0.8725,1.0,0.0097,0.0192,0.355,36.8582
