round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
1,5,0.121,0.8712,0.0,0.0,0.0,0.5566,4.7985
2,5,0.06,0.8712,0.0,0.0,0.0,0.467,6.7861
3,5,0.077,0.8712,0.0,0.0,0.0,0.4094,8.3113
4,5,0.063,0.8712,0.0,0.0,0.0,0.374,9.5971
5,4,0.067,0.8712,0.0,0.0,0.0,0.3391,10.7298
6,4,0.108,0.8712,0.0,0.0,0.0,0.3225,11.7539
7,4,0.076,0.8712,0.0,0.0,0.0,0.3157,12.6957
8,4,0.071,0.8712,0.0,0.0,0.0,0.3125,13.5723
9,4,0.079,0.8712,0.0,0.0,0.0,0.3133,14.3956
10,4,0.086,0.8712,0.0,0.0,0.0,0.3136,15.1743
11,4,0.069,0.8712,0.0,0.0,0.0,0.3132,15.9149
12,4,0.042,0.8725,1.0,0.0097,0.0192,0.3145,16.6226
13,4,0.077,0.8738,1.0,0.0194,0.0381,0.3145,17.3013
14,4,0.07,0.8738,1.0,0.0194,0.0381,0.3142,17.9544
15,4,0.071,0.8738,1.0,0.0194,0.0381,0.3155,18.5846
16,4,0.072,0.8738,1.0,0.0194,0.0381,0.3159,19.1941
17,4,0.089,0.8738,0.75,0.0291,0.0561,0.3159,19.7848
18,4,0.103,0.875,0.8,0.0388,0.0741,0.3161,20.3584
19,4,0.081,0.875,0.8,0.0388,0.0741,0.3174,20.9163
20,4,0.057,0.8762,0.8333,0.0485,0.0917,0.3176,21.4597
21,4,0.055,0.8762,0.8333,0.0485,0.0917,0.317,21.9896
22,4,0.121,0.8762,0.8333,0.0485,0.0917,0.3157,22.5071
23,4,0.092,0.8788,0.875,0.068,0.1261,0.3151,23.0129
24,4,0.065,0.88,0.8889,0.0777,0.1429,0.3142,23.5079
25,4,0.072,0.88,0.8889,0.0777,0.1429,0.3139,23.9926
26,4,0.074,0.88,0.8889,0.0777,0.1429,0.3133,24.4678
27,4,0.07,0.88,0.8889,0.0777,0.1429,0.3126,24.9339
28,4,0.068,0.88,0.8889,0.0777,0.1429,0.3114,25.3914
29,4,0.066,0.8788,0.8,0.0777,0.1416,0.3106,25.8409
30,4,0.037,0.88,0.7692,0.0971,0.1724,0.3096,26.2826
31,4,0.053,0.88,0.7692,0.0971,0.1724,0.3089,26.7171
32,4,0.061,0.88,0.7692,0.0971,0.1724,0.3083,27.1446
33,4,0.048,0.88,0.7692,0.0971,0.1724,0.3076,27.5654
34,4,0.044,0.8788,0.7143,0.0971,0.1709,0.3066,27.98
35,4,0.065,0.88,0.6842,0.1262,0.2131,0.3048,28.3885
36,4,0.065,0.8812,0.7,0.1359,0.2276,0.304,28.7912
37,4,0.069,0.8812,0.7,0.1359,0.2276,0.3039,29.1883
38,4,0.044,0.8812,0.6818,0.1456,0.24,0.3033,29.5801
39,4,0.033,0.8825,0.6957,0.1553,0.254,0.3034,29.9668
40,4,0.036,0.8825,0.6957,0.1553,0.254,0.3029,30.3485
41,4,0.059,0.885,0.72,0.1748,0.2812,0.3022,30.7256
42,4,0.062,0.885,0.72,0.1748,0.2812,0.3029,31.098
43,4,0.081,0.8862,0.7308,0.1845,0.2946,0.3025,31.466
44,4,0.035,0.885,0.7037,0.1845,0.2923,0.3027,31.8298
45,4,0.07,0.8838,0.6786,0.1845,0.2901,0.3033,32.1895
46,4,0.065,0.8838,0.6786,0.1845,0.2901,0.3038,32.5452
47,4,0.054,0.885,0.6897,0.1942,0.303,0.3039,32.897
48,4,0.056,0.885,0.6897,0.1942,0.303,0.3042,33.2452
49,4,0.042,0.8838,0.6667,0.1942,0.3008,0.3042,33.5897
50,4,0.058,0.8838,0.6667,0.1942,0.3008,0.304,33.9307
51,4,0.061,0.8838,0.6667,0.1942,0.3008,0.3045,34.2683
52,4,0.04,0.885,0.6774,0.2039,0.3134,0.3047,34.6027
53,4,0.061,0.8862,0.6875,0.2136,0.3259,0.3052,34.9338
54,4,0.06,0.8862,0.6875,0.2136,0.3259,0.3054,35.2618
55,4,0.034,0.8862,0.6875,0.2136,0.3259,0.3054,35.5868
56,4,0.062,0.8862,0.6875,0.2136,0.3259,0.3063,35.9089
57,4,0.078,0.8862,0.6875,0.2136,0.3259,0.3071,36.2281
58,4,0.056,0.8862,0.6875,0.2136,0.3259,0.3082,36.5445
59,4,0.083,0.8862,0.6875,0.2136,0.3259,0.3092,36.8582
60,4,0.051,0.8875,0.697,0.2233,0.3382,0.3093,37.1692
61,4,0.043,0.89,0.7143,0.2427,0.3623,0.3098,37.4777
62,4,0.068,0.8912,0.7222,0.2524,0.3741,0.3105,37.7836
63,4,0.138,0.8912,0.7222,0.2524,0.3741,0.3108,38.0871
64,4,0.137,0.8912,0.7222,0.2524,0.3741,0.3112,38.3882
65,4,0.075,0.8912,0.7222,0.2524,0.3741,0.3117,38.687
66,4,0.066,0.8912,0.7222,0.2524,0.3741,0.3122,38.9834
67,4,0.034,0.8912,0.7222,0.2524,0.3741,0.313,39.2776
68,4,0.06,0.8912,0.7222,0.2524,0.3741,0.3136,39.5697
69,4,0.058,0.8912,0.7105,0.2621,0.383,0.3139,39.8595
70,4,0.074,0.89,0.7027,0.2524,0.3714,0.3148,40.1473
71,4,0.04,0.89,0.7027,0.2524,0.3714,0.3157,40.4331
72,4,0.06,0.89,0.7027,0.2524,0.3714,0.3167,40.7168
73,4,0.034,0.89,0.7027,0.2524,0.3714,0.3168,40.9986
74,4,0.065,0.89,0.7027,0.2524,0.3714,0.3173,41.2785
75,4,0.036,0.89,0.7027,0.2524,0.3714,0.3187,41.5565
76,4,0.06,0.8912,0.7105,0.2621,0.383,0.3197,41.8326
77,4,0.061,0.8912,0.7105,0.2621,0.383,0.3195,42.1069
78,4,0.065,0.8912,0.7105,0.2621,0.383,0.3197,42.3794
79,4,0.062,0.8925,0.7179,0.2718,0.3944,0.3197,42.6502
80,4,0.037,0.8925,0.7179,0.2718,0.3944,0.3203,42.9193
81,4,0.061,0.8925,0.7179,0.2718,0.3944,0.3209,43.1867
82,4,0.057,0.8925,0.7179,0.2718,0.3944,0.3208,43.4525
83,4,0.036,0.89,0.6829,0.2718,0.3889,0.3212,43.7167
84,4,0.059,0.89,0.6829,0.2718,0.3889,0.3214,43.9792
85,4,0.061,0.8912,0.7,0.2718,0.3916,0.3221,44.2402
86,4,0.049,0.89,0.6829,0.2718,0.3889,0.3225,44.4997
87,4,0.053,0.89,0.6829,0.2718,0.3889,0.3223,44.7577
88,4,0.037,0.89,0.6829,0.2718,0.3889,0.3235,45.0142
89,4,0.072,0.8912,0.7,0.2718,0.3916,0.3242,45.2692
90,4,0.078,0.89,0.6829,0.2718,0.3889,0.3247,45.5228
91,4,0.066,0.8912,0.6905,0.2816,0.4,0.3244,45.775
92,4,0.039,0.8912,0.6905,0.2816,0.4,0.3245,46.0258
93,4,0.06,0.89,0.6829,0.2718,0.3889,0.3258,46.2753
94,4,0.036,0.89,0.6829,0.2718,0.3889,0.3268,46.5234
